Wed Jan  6 15:06:26 2021    fd_profile

         475467850 function calls (466654918 primitive calls) in 172.522 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000  172.532  172.532 {built-in method builtins.exec}
        1    0.013    0.013  172.532  172.532 <string>:1(<module>)
        1    0.011    0.011  172.494  172.494 translate_and_scope.py:695(main)
        1    0.015    0.015  166.196  166.196 scoping.py:80(scope)
   367255    0.153    0.000  130.202    0.000 z3.py:320(__str__)
   367255    0.788    0.000  130.048    0.000 z3printer.py:1236(obj_to_string)
   367255    0.163    0.000  120.238    0.000 z3printer.py:1132(__call__)
   367255    0.323    0.000  120.075    0.000 z3printer.py:1106(main)
735881/367255    0.889    0.000  119.606    0.000 z3printer.py:1000(pp_expr)
732920/367255    2.964    0.000  117.527    0.000 z3printer.py:917(pp_app)
        4    0.000    0.000  109.146   27.286 skill_classes.py:207(merge_skills_pddl)
116991/116849    0.134    0.000   93.176    0.001 {built-in method builtins.sorted}
        4    0.000    0.000   92.909   23.227 skill_classes.py:228(sort_in_merge_skills)
     8806    0.015    0.000   92.904    0.011 skill_classes.py:92(__lt__)
    17612    0.009    0.000   92.889    0.005 skill_classes.py:85(__str__)
    17612    0.123    0.000   92.880    0.005 skill_classes.py:81(__repr__)
108849/17612    0.386    0.000   69.205    0.004 z3printer.py:734(pp_prefix)
        4    0.128    0.032   46.947   11.737 scoping.py:58(get_unlinked_pvars)
179908/43752    0.837    0.000   40.102    0.001 utils.py:204(get_atoms)
    91852    0.319    0.000   38.163    0.000 z3printer.py:788(pp_infix)
    91852    0.089    0.000   31.602    0.000 z3printer.py:783(infix_args)
    91852    0.868    0.000   31.248    0.000 z3printer.py:751(infix_args_core)
   440931    0.671    0.000   25.621    0.000 z3printer.py:576(pp_const)
  1868008    3.438    0.000   25.104    0.000 z3.py:974(decl)
  6466458    3.474    0.000   23.990    0.000 z3.py:1157(is_app)
  4707252    5.350    0.000   23.813    0.000 z3.py:307(__init__)
  4707252    5.106    0.000   23.239    0.000 z3.py:312(__del__)
 39430606   19.882    0.000   22.179    0.000 z3core.py:1417(Check)
   641632    0.720    0.000   21.005    0.000 z3printer.py:539(pp_name)
  6466458    5.419    0.000   19.945    0.000 z3.py:450(_ast_kind)
   377444    0.605    0.000   19.597    0.000 z3.py:1026(children)
   686435    1.467    0.000   17.888    0.000 z3.py:1005(arg)
   641632    1.074    0.000   15.597    0.000 z3printer.py:216(_op_name)
   881674    0.706    0.000   15.171    0.000 z3.py:2241(is_real)
    97064    0.122    0.000   14.975    0.000 skill_classes.py:49(__repr__)
