Thu Dec 17 20:44:03 2020    time_profiles/minecraft_new

         77416970 function calls (77199663 primitive calls) in 28.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   28.411   28.411 {built-in method builtins.exec}
        1    0.000    0.000   28.411   28.411 <string>:1(<module>)
        1    0.001    0.001   28.408   28.408 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001   21.871   21.871 scoping.py:39(scope)
    60926    0.130    0.000   11.110    0.000 z3.py:932(__eq__)
        6    0.003    0.001   10.417    1.736 scoping.py:8(get_causal_links)
82031/61130    0.227    0.000   10.293    0.000 z3.py:1106(_coerce_exprs)
    60634    0.173    0.000    9.586    0.000 z3.py:335(__bool__)
     1062    0.033    0.000    9.335    0.009 scoping.py:13(<listcomp>)
      180    0.000    0.000    9.274    0.052 utils.py:375(get_unique_z3_vars)
      180    0.033    0.000    9.190    0.051 utils.py:380(get_unique_z3_vars_unsorted)
157626/115824    0.277    0.000    7.080    0.000 z3.py:2163(cast)
    29907    0.056    0.000    6.698    0.000 z3printer.py:1236(obj_to_string)
    29717    0.013    0.000    6.684    0.000 z3.py:320(__str__)
    29907    0.014    0.000    6.346    0.000 z3printer.py:1132(__call__)
    29907    0.022    0.000    6.333    0.000 z3printer.py:1106(main)
41804/29907    0.046    0.000    6.299    0.000 z3printer.py:1000(pp_expr)
41804/29907    0.159    0.000    6.130    0.000 z3printer.py:917(pp_app)
        1    0.000    0.000    5.682    5.682 PDDLz3.py:62(get_init_cond_list)
     2347    0.003    0.000    5.333    0.002 {built-in method builtins.sorted}
  1044039    1.140    0.000    5.257    0.000 z3.py:307(__init__)
  1044039    1.134    0.000    5.139    0.000 z3.py:312(__del__)
   181902    0.228    0.000    4.948    0.000 z3.py:1256(is_app_of)
  7811657    4.438    0.000    4.890    0.000 z3core.py:1417(Check)
        6    0.002    0.000    4.527    0.755 skill_classes.py:171(merge_skills_pddl)
    20901    0.102    0.000    4.285    0.000 z3.py:1268(If)
  1546638    0.767    0.000    3.961    0.000 z3.py:513(as_ast)
   275947    0.539    0.000    3.822    0.000 z3.py:974(decl)
   138502    0.316    0.000    3.728    0.000 z3.py:1005(arg)
   949997    0.522    0.000    3.553    0.000 z3.py:1157(is_app)
   359509    0.425    0.000    3.274    0.000 z3.py:2217(sort)
      292    0.000    0.000    2.977    0.010 skill_classes.py:82(__lt__)
      584    0.000    0.000    2.977    0.005 skill_classes.py:75(__str__)
      584    0.003    0.000    2.976    0.005 skill_classes.py:71(__repr__)
   949997    0.842    0.000    2.961    0.000 z3.py:450(_ast_kind)
   330425    0.550    0.000    2.854    0.000 z3.py:366(eq)
  1546638    1.505    0.000    2.681    0.000 z3core.py:2562(Z3_sort_to_ast)
   165091    0.132    0.000    2.538    0.000 z3.py:1088(_coerce_expr_merge)
        1    0.008    0.008    2.237    2.237 scoping.py:120(<listcomp>)
     3763    0.011    0.000    2.218    0.001 skill_classes.py:33(__lt__)
    33440    0.054    0.000    2.016    0.000 z3printer.py:576(pp_const)
 2565/584    0.009    0.000    1.972    0.003 z3printer.py:734(pp_prefix)
  1109716    1.120    0.000    1.961    0.000 z3core.py:2817(Z3_get_ast_kind)
   251847    0.394    0.000    1.912    0.000 z3.py:989(num_args)
  1044039    1.065    0.000    1.839    0.000 z3core.py:1480(Z3_inc_ref)
  1044039    1.030    0.000    1.806    0.000 z3core.py:1484(Z3_dec_ref)
   159719    0.325    0.000    1.710    0.000 z3.py:1041(_to_expr_ref)
    60634    0.029    0.000    1.709    0.000 z3.py:1459(is_true)
3642/2905    0.013    0.000    1.701    0.001 z3printer.py:788(pp_infix)
    60634    0.026    0.000    1.665    0.000 z3.py:1476(is_false)
    60634    0.025    0.000    1.654    0.000 z3.py:1533(is_eq)
      700    0.003    0.000    1.590    0.002 skill_classes.py:49(__init__)
3642/2905    0.004    0.000    1.479    0.001 z3printer.py:783(infix_args)
3642/2905    0.034    0.000    1.467    0.001 z3printer.py:751(infix_args_core)
   551894    0.293    0.000    1.461    0.000 z3.py:668(as_ast)
    39647    0.047    0.000    1.400    0.000 z3printer.py:539(pp_name)
  3920127    1.020    0.000    1.358    0.000 z3.py:362(ctx_ref)
6682/1973    0.025    0.000    1.292    0.001 utils.py:305(get_atoms)
      522    0.002    0.000    1.265    0.002 skill_classes.py:88(move_irrelevant2side_effects)
   598527    0.620    0.000    1.074    0.000 z3core.py:2802(Z3_get_sort)
    41802    0.036    0.000    1.068    0.000 z3.py:2930(_py2expr)
    39647    0.064    0.000    1.064    0.000 z3printer.py:216(_op_name)
    56120    0.049    0.000    1.037    0.000 z3.py:2241(is_real)
    42148    0.093    0.000    1.024    0.000 z3.py:2989(IntVal)
   551894    0.558    0.000    0.984    0.000 z3core.py:2672(Z3_func_decl_to_ast)
 15623314    0.928    0.000    0.928    0.000 z3types.py:19(from_param)
     1743    0.003    0.000    0.812    0.000 skill_classes.py:39(__repr__)
    30032    0.052    0.000    0.792    0.000 z3.py:1392(cast)
   275764    0.150    0.000    0.746    0.000 z3.py:719(kind)
  8536623    0.745    0.000    0.745    0.000 z3.py:196(ref)
    41804    0.040    0.000    0.727    0.000 z3.py:2560(is_int_value)
    79299    0.094    0.000    0.722    0.000 z3.py:1426(sort)
        6    0.002    0.000    0.672    0.112 scoping.py:17(get_unlinked_pvars)
   330425    0.385    0.000    0.648    0.000 z3core.py:2787(Z3_is_eq_ast)
    13064    0.019    0.000    0.648    0.000 z3.py:1026(children)
    30217    0.031    0.000    0.593    0.000 z3.py:2227(is_int)
    39647    0.019    0.000    0.554    0.000 z3.py:2583(is_rational_value)
    39647    0.018    0.000    0.545    0.000 z3.py:2604(is_algebraic_value)
   298207    0.295    0.000    0.516    0.000 z3core.py:2572(Z3_get_sort_kind)
   275947    0.290    0.000    0.501    0.000 z3core.py:2772(Z3_get_app_decl)
    39647    0.026    0.000    0.497    0.000 z3.py:1182(is_const)
   275764    0.286    0.000    0.496    0.000 z3core.py:2692(Z3_get_decl_kind)
    13064    0.008    0.000    0.475    0.000 z3.py:1037(<listcomp>)
   251847    0.249    0.000    0.440    0.000 z3core.py:2777(Z3_get_app_num_args)
        1    0.000    0.000    0.432    0.432 PDDLz3.py:48(get_skills)
        1    0.000    0.000    0.421    0.421 PDDLz3.py:36(str_grounded_actions2skills)
  1344777    0.283    0.000    0.378    0.000 z3.py:412(is_ast)
   138488    0.052    0.000    0.375    0.000 z3.py:519(kind)
    42696    0.049    0.000    0.367    0.000 z3.py:2942(IntSort)
  4242269    0.350    0.000    0.350    0.000 {built-in method builtins.isinstance}
  5353445    0.345    0.000    0.345    0.000 z3types.py:39(from_param)
    35680    0.034    0.000    0.332    0.000 z3.py:677(name)
   138488    0.070    0.000    0.324    0.000 z3.py:508(_sort_kind)
   138502    0.193    0.000    0.298    0.000 z3core.py:2782(Z3_get_app_arg)
    29907    0.025    0.000    0.288    0.000 z3printer.py:509(__call__)
  2936810    0.278    0.000    0.278    0.000 z3.py:903(as_ast)
70319/29907    0.062    0.000    0.262    0.000 z3printer.py:493(pp)
    77021    0.031    0.000    0.238    0.000 z3.py:2131(is_real)
    35680    0.037    0.000    0.221    0.000 z3.py:116(_symbol2py)
    61467    0.025    0.000    0.194    0.000 z3.py:2145(is_int)
    22154    0.027    0.000    0.194    0.000 z3.py:1553(BoolSort)
        1    0.001    0.001    0.177    0.177 PDDLz3.py:77(<listcomp>)
4310/1473    0.004    0.000    0.162    0.000 z3printer.py:474(pp_choice)
       86    0.001    0.000    0.161    0.002 PDDLz3.py:254(action2effect_types)
   486045    0.114    0.000    0.152    0.000 z3.py:1135(is_expr)
    60926    0.098    0.000    0.149    0.000 z3core.py:1722(Z3_mk_eq)
     2565    0.007    0.000    0.139    0.000 z3printer.py:429(seq1)
    42148    0.072    0.000    0.139    0.000 z3core.py:2192(Z3_mk_numeral)
8772/1473    0.008    0.000    0.134    0.000 z3printer.py:470(pp_compose)
  1888116    0.133    0.000    0.133    0.000 z3types.py:31(from_param)
  1206610    0.132    0.000    0.132    0.000 z3.py:56(z3_debug)
     6207    0.004    0.000    0.129    0.000 z3printer.py:404(group)
25359/6207    0.016    0.000    0.117    0.000 z3printer.py:331(flat)
  1315080    0.114    0.000    0.114    0.000 z3.py:94(_z3_assert)
    35680    0.051    0.000    0.113    0.000 z3core.py:2542(Z3_get_symbol_string)
    52719    0.053    0.000    0.110    0.000 z3printer.py:460(pp_string)
  1174358    0.108    0.000    0.109    0.000 z3.py:231(_get_ctx)
25359/6207    0.021    0.000    0.098    0.000 z3printer.py:332(<listcomp>)
      177    0.000    0.000    0.090    0.001 skill_classes.py:107(params)
    34131    0.025    0.000    0.084    0.000 z3printer.py:396(compose)
      180    0.000    0.000    0.084    0.000 utils.py:387(sort_z3_vars)
      561    0.000    0.000    0.083    0.000 utils.py:388(<lambda>)
    60879    0.050    0.000    0.081    0.000 z3printer.py:387(to_format)
7014/2565    0.004    0.000    0.080    0.000 z3printer.py:355(flat)
    76556    0.013    0.000    0.079    0.000 {method 'get' of 'dict' objects}
    30217    0.017    0.000    0.078    0.000 z3.py:2554(_is_numeral)
       91    0.001    0.000    0.074    0.001 utils.py:119(simplify_disjunction)
      207    0.000    0.000    0.074    0.000 PDDLz3.py:262(<listcomp>)
      207    0.001    0.000    0.074    0.000 PDDLz3.py:111(z3_identical)
       35    0.044    0.001    0.071    0.002 {built-in method builtins.print}
    42696    0.040    0.000    0.070    0.000 z3core.py:1602(Z3_mk_int_sort)
     4734    0.002    0.000    0.067    0.000 z3printer.py:341(flat)
      316    0.002    0.000    0.066    0.000 utils.py:236(solver_implies_condition)
   863338    0.066    0.000    0.066    0.000 z3types.py:35(from_param)
    35680    0.038    0.000    0.065    0.000 z3core.py:2687(Z3_get_decl_name)
    35680    0.037    0.000    0.064    0.000 z3core.py:2532(Z3_get_symbol_kind)
    40338    0.028    0.000    0.063    0.000 z3printer.py:312(__init__)
    30217    0.036    0.000    0.059    0.000 z3core.py:2827(Z3_is_numeral_ast)
    20901    0.040    0.000    0.059    0.000 z3core.py:1737(Z3_mk_ite)
    21629    0.028    0.000    0.057    0.000 z3.py:455(_ctx_from_ast_arg_list)
 1995/733    0.003    0.000    0.057    0.000 PDDLz3.py:163(compile_expression)
    42148    0.039    0.000    0.057    0.000 z3.py:2974(_to_int_str)
     4310    0.002    0.000    0.053    0.000 z3printer.py:383(fits)
      270    0.001    0.000    0.053    0.000 z3.py:1700(And)
22790/4310    0.022    0.000    0.052    0.000 z3printer.py:323(space_upto_nl)
    58926    0.035    0.000    0.051    0.000 z3printer.py:410(_len)
      365    0.001    0.000    0.049    0.000 z3.py:1124(_coerce_expr_list)
      322    0.001    0.000    0.047    0.000 z3.py:6604(add)
       86    0.000    0.000    0.047    0.001 PDDLz3.py:45(action2precondition)
     6207    0.016    0.000    0.045    0.000 z3printer.py:416(seq)
      322    0.002    0.000    0.045    0.000 z3.py:6585(assert_exprs)
    10003    0.007    0.000    0.043    0.000 z3.py:2159(subsort)
    11281    0.004    0.000    0.041    0.000 z3.py:949(__hash__)
6919/2470    0.002    0.000    0.038    0.000 z3printer.py:353(space_upto_nl)
   121098    0.028    0.000    0.038    0.000 z3.py:2498(is_arith)
    37837    0.026    0.000    0.037    0.000 z3core.py:83(_to_pystr)
    11281    0.003    0.000    0.037    0.000 z3.py:329(__hash__)
    22154    0.021    0.000    0.037    0.000 z3core.py:1597(Z3_mk_bool_sort)
     3961    0.003    0.000    0.037    0.000 skill_classes.py:45(__hash__)
    42948    0.022    0.000    0.036    0.000 z3core.py:69(_str_to_bytes)
    15844    0.004    0.000    0.034    0.000 {built-in method builtins.hash}
    11281    0.008    0.000    0.034    0.000 z3.py:402(hash)
    40338    0.021    0.000    0.029    0.000 z3printer.py:313(<listcomp>)
      292    0.000    0.000    0.029    0.000 PDDLz3.py:88(<lambda>)
    39647    0.013    0.000    0.028    0.000 z3.py:3737(is_bv_value)
      365    0.000    0.000    0.027    0.000 z3.py:1133(<listcomp>)
      190    0.000    0.000    0.027    0.000 z3.py:323(__repr__)
    61739    0.019    0.000    0.027    0.000 z3printer.py:380(space_upto_nl)
      190    0.000    0.000    0.027    0.000 scoping.py:35(<lambda>)
       91    0.000    0.000    0.026    0.000 z3.py:7667(as_expr)
    84659    0.020    0.000    0.025    0.000 z3.py:64(_is_int)
    39647    0.011    0.000    0.025    0.000 z3.py:9089(is_fprm_value)
      172    0.000    0.000    0.024    0.000 scoping.py:10(<lambda>)
    79294    0.018    0.000    0.024    0.000 z3.py:9213(is_fp)
       91    0.000    0.000    0.024    0.000 z3.py:5469(as_expr)
    39647    0.011    0.000    0.024    0.000 z3.py:7360(is_finite_domain_value)
    54672    0.020    0.000    0.024    0.000 z3printer.py:373(__init__)
    39647    0.010    0.000    0.023    0.000 z3.py:9226(is_fp_value)
        4    0.000    0.000    0.023    0.006 PDDLz3.py:29(make_str2var_dict)
        8    0.001    0.000    0.023    0.003 PDDLz3.py:9(make_z3_atoms)
      365    0.001    0.000    0.021    0.000 z3.py:1118(_reduce)
    11281    0.012    0.000    0.021    0.000 z3core.py:2797(Z3_get_ast_hash)
     2157    0.002    0.000    0.019    0.000 z3printer.py:586(pp_int)
      363    0.001    0.000    0.018    0.000 z3.py:1669(Not)
     7284    0.005    0.000    0.016    0.000 z3printer.py:554(is_infix_unary)
      316    0.001    0.000    0.016    0.000 z3.py:6671(check)
   180400    0.014    0.000    0.015    0.000 {built-in method builtins.len}
      548    0.001    0.000    0.015    0.000 z3.py:3045(Int)
    39647    0.010    0.000    0.015    0.000 z3.py:3724(is_bv)
