Thu Dec 17 20:43:35 2020    time_profiles/minecraft_old

         103193809 function calls (102946142 primitive calls) in 36.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   36.397   36.397 {built-in method builtins.exec}
        1    0.000    0.000   36.397   36.397 <string>:1(<module>)
        1    0.001    0.001   36.394   36.394 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001   20.834   20.834 scoping.py:39(scope)
      181    0.000    0.000   18.136    0.100 utils.py:375(get_unique_z3_vars)
      181    0.064    0.000   18.031    0.100 utils.py:380(get_unique_z3_vars_unsorted)
    87414    0.180    0.000   15.553    0.000 z3.py:932(__eq__)
118621/87618    0.315    0.000   14.414    0.000 z3.py:1106(_coerce_exprs)
    87122    0.235    0.000   13.247    0.000 z3.py:335(__bool__)
        6    0.003    0.000   10.000    1.667 scoping.py:8(get_causal_links)
227308/165302    0.390    0.000    9.974    0.000 z3.py:2163(cast)
     1062    0.032    0.000    8.957    0.008 scoping.py:13(<listcomp>)
   261366    0.310    0.000    6.806    0.000 z3.py:1256(is_app_of)
  1419011    1.471    0.000    6.801    0.000 z3.py:307(__init__)
  1419011    1.464    0.000    6.630    0.000 z3.py:312(__del__)
    29698    0.054    0.000    6.413    0.000 z3printer.py:1236(obj_to_string)
    29508    0.012    0.000    6.399    0.000 z3.py:320(__str__)
 10514092    5.759    0.000    6.340    0.000 z3core.py:1417(Check)
    31003    0.145    0.000    6.114    0.000 z3.py:1268(If)
    29698    0.013    0.000    6.074    0.000 z3printer.py:1132(__call__)
    29698    0.022    0.000    6.061    0.000 z3printer.py:1106(main)
41595/29698    0.045    0.000    6.028    0.000 z3printer.py:1000(pp_expr)
41595/29698    0.152    0.000    5.866    0.000 z3printer.py:917(pp_app)
  2158694    1.024    0.000    5.306    0.000 z3.py:513(as_ast)
        1    0.000    0.000    5.191    5.191 PDDLz3.py:62(get_init_cond_list)
     2347    0.003    0.000    5.168    0.002 {built-in method builtins.sorted}
   191478    0.424    0.000    4.993    0.000 z3.py:1005(arg)
   354993    0.668    0.000    4.716    0.000 z3.py:974(decl)
  1240320    0.657    0.000    4.467    0.000 z3.py:1157(is_app)
        6    0.002    0.000    4.389    0.732 skill_classes.py:171(merge_skills_pddl)
   478057    0.536    0.000    4.157    0.000 z3.py:2217(sort)
   476785    0.771    0.000    3.981    0.000 z3.py:366(eq)
  1240320    1.053    0.000    3.720    0.000 z3.py:450(_ast_kind)
  2158694    2.018    0.000    3.605    0.000 z3core.py:2562(Z3_sort_to_ast)
   238271    0.183    0.000    3.521    0.000 z3.py:1088(_coerce_expr_merge)
      292    0.000    0.000    2.881    0.010 skill_classes.py:82(__lt__)
      584    0.000    0.000    2.881    0.005 skill_classes.py:75(__str__)
      584    0.003    0.000    2.880    0.005 skill_classes.py:71(__repr__)
  1463117    1.433    0.000    2.501    0.000 z3core.py:2817(Z3_get_ast_kind)
   331102    0.498    0.000    2.424    0.000 z3.py:989(num_args)
  1419011    1.381    0.000    2.393    0.000 z3core.py:1480(Z3_inc_ref)
    87122    0.040    0.000    2.355    0.000 z3.py:1459(is_true)
  1419011    1.337    0.000    2.351    0.000 z3core.py:1484(Z3_dec_ref)
   222797    0.440    0.000    2.308    0.000 z3.py:1041(_to_expr_ref)
    87122    0.035    0.000    2.287    0.000 z3.py:1476(is_false)
    87122    0.033    0.000    2.273    0.000 z3.py:1533(is_eq)
     3763    0.010    0.000    2.129    0.001 skill_classes.py:33(__lt__)
        1    0.007    0.007    2.005    2.005 scoping.py:120(<listcomp>)
    33231    0.053    0.000    1.922    0.000 z3printer.py:576(pp_const)
 2565/584    0.009    0.000    1.906    0.003 z3printer.py:734(pp_prefix)
   709986    0.358    0.000    1.799    0.000 z3.py:668(as_ast)
  5309087    1.304    0.000    1.731    0.000 z3.py:362(ctx_ref)
3642/2905    0.013    0.000    1.646    0.001 z3printer.py:788(pp_infix)
    62006    0.051    0.000    1.526    0.000 z3.py:2930(_py2expr)
      700    0.003    0.000    1.522    0.002 skill_classes.py:49(__init__)
    62352    0.132    0.000    1.458    0.000 z3.py:2989(IntVal)
3642/2905    0.004    0.000    1.431    0.000 z3printer.py:783(infix_args)
3642/2905    0.034    0.000    1.420    0.000 z3printer.py:751(infix_args_core)
   817455    0.814    0.000    1.407    0.000 z3core.py:2802(Z3_get_sort)
    39438    0.045    0.000    1.336    0.000 z3printer.py:539(pp_name)
6682/1973    0.024    0.000    1.240    0.001 utils.py:305(get_atoms)
      522    0.002    0.000    1.230    0.002 skill_classes.py:88(move_irrelevant2side_effects)
   709986    0.692    0.000    1.220    0.000 z3core.py:2672(Z3_func_decl_to_ast)
 21028184    1.202    0.000    1.202    0.000 z3types.py:19(from_param)
    43632    0.074    0.000    1.112    0.000 z3.py:1392(cast)
   116601    0.135    0.000    1.022    0.000 z3.py:1426(sort)
    39438    0.062    0.000    1.016    0.000 z3printer.py:216(_op_name)
    55712    0.047    0.000    0.986    0.000 z3.py:2241(is_real)
 11487874    0.925    0.000    0.925    0.000 z3.py:196(ref)
   354810    0.182    0.000    0.917    0.000 z3.py:719(kind)
   476785    0.546    0.000    0.913    0.000 z3core.py:2787(Z3_is_eq_ast)
     1743    0.003    0.000    0.786    0.000 skill_classes.py:39(__repr__)
    41595    0.038    0.000    0.692    0.000 z3.py:2560(is_int_value)
        6    0.002    0.000    0.666    0.111 scoping.py:17(get_unlinked_pvars)
   385269    0.372    0.000    0.647    0.000 z3core.py:2572(Z3_get_sort_kind)
    13064    0.018    0.000    0.627    0.000 z3.py:1026(children)
   354993    0.359    0.000    0.619    0.000 z3core.py:2772(Z3_get_app_decl)
   354810    0.357    0.000    0.616    0.000 z3core.py:2692(Z3_get_decl_kind)
    30013    0.030    0.000    0.564    0.000 z3.py:2227(is_int)
   331102    0.319    0.000    0.560    0.000 z3core.py:2777(Z3_get_app_num_args)
    39438    0.018    0.000    0.527    0.000 z3.py:2583(is_rational_value)
    62900    0.069    0.000    0.519    0.000 z3.py:2942(IntSort)
    39438    0.017    0.000    0.518    0.000 z3.py:2604(is_algebraic_value)
  1811766    0.368    0.000    0.491    0.000 z3.py:412(is_ast)
    39438    0.025    0.000    0.477    0.000 z3.py:1182(is_const)
    13064    0.007    0.000    0.461    0.000 z3.py:1037(<listcomp>)
  7262793    0.445    0.000    0.445    0.000 z3types.py:39(from_param)
  5463123    0.438    0.000    0.439    0.000 {built-in method builtins.isinstance}
   162472    0.058    0.000    0.425    0.000 z3.py:519(kind)
   191478    0.262    0.000    0.404    0.000 z3core.py:2782(Z3_get_app_arg)
        1    0.000    0.000    0.376    0.376 PDDLz3.py:48(get_skills)
  3949854    0.370    0.000    0.370    0.000 z3.py:903(as_ast)
   162472    0.079    0.000    0.367    0.000 z3.py:508(_sort_kind)
        1    0.000    0.000    0.366    0.366 PDDLz3.py:36(str_grounded_actions2skills)
    35471    0.033    0.000    0.318    0.000 z3.py:677(name)
    29698    0.024    0.000    0.278    0.000 z3printer.py:509(__call__)
    32256    0.038    0.000    0.271    0.000 z3.py:1553(BoolSort)
    86715    0.035    0.000    0.260    0.000 z3.py:2131(is_real)
70110/29698    0.060    0.000    0.254    0.000 z3printer.py:493(pp)
    75757    0.030    0.000    0.229    0.000 z3.py:2145(is_int)
    35471    0.036    0.000    0.212    0.000 z3.py:116(_symbol2py)
    87414    0.139    0.000    0.209    0.000 z3core.py:1722(Z3_mk_eq)
   688990    0.154    0.000    0.206    0.000 z3.py:1135(is_expr)
    62352    0.104    0.000    0.202    0.000 z3core.py:2192(Z3_mk_numeral)
  2607438    0.177    0.000    0.177    0.000 z3types.py:31(from_param)
  1657631    0.173    0.000    0.173    0.000 z3.py:56(z3_debug)
        1    0.001    0.001    0.163    0.163 PDDLz3.py:77(<listcomp>)
4310/1473    0.004    0.000    0.158    0.000 z3printer.py:474(pp_choice)
  1805477    0.153    0.000    0.153    0.000 z3.py:94(_z3_assert)
  1609942    0.147    0.000    0.147    0.000 z3.py:231(_get_ctx)
       86    0.001    0.000    0.140    0.002 PDDLz3.py:254(action2effect_types)
     2565    0.006    0.000    0.132    0.000 z3printer.py:429(seq1)
8772/1473    0.008    0.000    0.131    0.000 z3printer.py:470(pp_compose)
     6207    0.004    0.000    0.125    0.000 z3printer.py:404(group)
25359/6207    0.015    0.000    0.113    0.000 z3printer.py:331(flat)
    35471    0.049    0.000    0.109    0.000 z3core.py:2542(Z3_get_symbol_string)
    52510    0.051    0.000    0.106    0.000 z3printer.py:460(pp_string)
      181    0.000    0.000    0.105    0.001 utils.py:387(sort_z3_vars)
      734    0.000    0.000    0.104    0.000 utils.py:388(<lambda>)
    62900    0.058    0.000    0.101    0.000 z3core.py:1602(Z3_mk_int_sort)
25359/6207    0.020    0.000    0.095    0.000 z3printer.py:332(<listcomp>)
       35    0.064    0.002    0.091    0.003 {built-in method builtins.print}
      177    0.000    0.000    0.088    0.000 skill_classes.py:107(params)
    31003    0.058    0.000    0.085    0.000 z3core.py:1737(Z3_mk_ite)
    31731    0.041    0.000    0.082    0.000 z3.py:455(_ctx_from_ast_arg_list)
    62352    0.056    0.000    0.081    0.000 z3.py:2974(_to_int_str)
  1100267    0.079    0.000    0.079    0.000 z3types.py:35(from_param)
    76392    0.012    0.000    0.078    0.000 {method 'get' of 'dict' objects}
    34131    0.024    0.000    0.078    0.000 z3printer.py:396(compose)
    60670    0.048    0.000    0.078    0.000 z3printer.py:387(to_format)
7014/2565    0.004    0.000    0.077    0.000 z3printer.py:355(flat)
    30013    0.016    0.000    0.075    0.000 z3.py:2554(_is_numeral)
       91    0.001    0.000    0.073    0.001 utils.py:119(simplify_disjunction)
      316    0.002    0.000    0.070    0.000 utils.py:236(solver_implies_condition)
     4734    0.002    0.000    0.065    0.000 z3printer.py:341(flat)
      207    0.000    0.000    0.065    0.000 PDDLz3.py:262(<listcomp>)
      207    0.001    0.000    0.064    0.000 PDDLz3.py:111(z3_identical)
    35471    0.036    0.000    0.062    0.000 z3core.py:2687(Z3_get_decl_name)
    35471    0.036    0.000    0.061    0.000 z3core.py:2532(Z3_get_symbol_kind)
    14395    0.010    0.000    0.061    0.000 z3.py:2159(subsort)
    40338    0.024    0.000    0.057    0.000 z3printer.py:312(__init__)
    30013    0.035    0.000    0.057    0.000 z3core.py:2827(Z3_is_numeral_ast)
      323    0.000    0.000    0.054    0.000 z3.py:6509(push)
      323    0.053    0.000    0.054    0.000 z3core.py:3741(Z3_solver_push)
    63152    0.031    0.000    0.052    0.000 z3core.py:69(_str_to_bytes)
     4310    0.002    0.000    0.052    0.000 z3printer.py:383(fits)
