Wed Apr 26 12:57:55 2023    /home/johnny/repos/OO-Scoping-IPC/profiling/time_profiles/IPC_Domains/CompositeIPC/ipc_composite//IPC_Domains/CompositeIPC/prob-01_nonverbose

         121611060 function calls (121453651 primitive calls) in 61.920 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   61.920   61.920 {built-in method builtins.exec}
        1    0.004    0.004   61.920   61.920 <string>:1(<module>)
        1    0.008    0.008   61.887   61.887 pddl_scoper.py:13(scope_pddl)
        1    0.005    0.005   39.345   39.345 scoping.py:117(scope)
        1    0.063    0.063   23.640   23.640 scoping.py:204(<listcomp>)
    99099    0.189    0.000   20.924    0.000 z3printer.py:1236(obj_to_string)
    98292    0.065    0.000   20.767    0.000 z3.py:320(__str__)
    99099    0.073    0.000   20.017    0.000 z3printer.py:1132(__call__)
    99099    0.126    0.000   19.944    0.000 z3printer.py:1106(main)
101755/99099    0.158    0.000   19.759    0.000 z3printer.py:1000(pp_expr)
101755/99099    0.604    0.000   18.924    0.000 z3printer.py:917(pp_app)
    73777    0.209    0.000   15.211    0.000 z3.py:932(__eq__)
    73655    0.274    0.000   14.853    0.000 z3.py:335(__bool__)
94131/75479    0.297    0.000   14.179    0.000 z3.py:1106(_coerce_exprs)
        1    0.001    0.001   13.915   13.915 PDDLz3.py:92(get_init_cond_list)
        1    0.035    0.035   13.702   13.702 PDDLz3.py:110(<listcomp>)
  1491769    2.331    0.000   10.433    0.000 z3.py:307(__init__)
  1491769    2.272    0.000   10.079    0.000 z3.py:312(__del__)
    99905    0.238    0.000    9.379    0.000 z3printer.py:576(pp_const)
 11938148    7.829    0.000    8.953    0.000 z3core.py:1417(Check)
   433770    1.151    0.000    8.629    0.000 z3.py:974(decl)
  1568427    1.233    0.000    8.502    0.000 z3.py:1157(is_app)
   220965    0.350    0.000    7.636    0.000 z3.py:1256(is_app_of)
        5    0.022    0.004    7.624    1.525 scoping.py:79(get_unlinked_pvars)
   211491    0.639    0.000    7.338    0.000 z3.py:1005(arg)
  2100724    1.460    0.000    7.204    0.000 z3.py:513(as_ast)
  1568427    2.085    0.000    7.076    0.000 z3.py:450(_ast_kind)
89678/52374    0.248    0.000    6.790    0.000 z3.py:2163(cast)
        1    0.000    0.000    6.383    6.383 PDDLz3.py:68(get_skills)
        1    0.007    0.007    6.137    6.137 PDDLz3.py:48(str_grounded_actions2skills)
