Wed Apr 26 12:52:11 2023    /home/johnny/repos/OO-Scoping-IPC/profiling/time_profiles/IPC_Domains/CompositeIPC/ipc_composite//IPC_Domains/CompositeIPC/prob-01_nonverbose

         121611060 function calls (121453651 primitive calls) in 65.658 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   65.658   65.658 {built-in method builtins.exec}
        1    0.005    0.005   65.658   65.658 <string>:1(<module>)
        1    0.008    0.008   65.618   65.618 pddl_scoper.py:13(scope_pddl)
        1    0.005    0.005   43.950   43.950 scoping.py:117(scope)
        1    0.079    0.079   28.392   28.392 scoping.py:204(<listcomp>)
    99099    0.185    0.000   19.881    0.000 z3printer.py:1236(obj_to_string)
    98292    0.061    0.000   19.738    0.000 z3.py:320(__str__)
    99099    0.068    0.000   19.008    0.000 z3printer.py:1132(__call__)
    99099    0.118    0.000   18.939    0.000 z3printer.py:1106(main)
101755/99099    0.147    0.000   18.765    0.000 z3printer.py:1000(pp_expr)
101755/99099    0.583    0.000   17.972    0.000 z3printer.py:917(pp_app)
    73777    0.239    0.000   17.709    0.000 z3.py:932(__eq__)
    73655    0.322    0.000   16.916    0.000 z3.py:335(__bool__)
94131/75479    0.344    0.000   16.512    0.000 z3.py:1106(_coerce_exprs)
        1    0.000    0.000   12.331   12.331 PDDLz3.py:92(get_init_cond_list)
        1    0.030    0.030   12.170   12.170 PDDLz3.py:110(<listcomp>)
  1491769    2.478    0.000   11.112    0.000 z3.py:307(__init__)
  1491769    2.427    0.000   10.736    0.000 z3.py:312(__del__)
 11938148    8.310    0.000    9.533    0.000 z3core.py:1417(Check)
   433770    1.216    0.000    8.997    0.000 z3.py:974(decl)
    99905    0.222    0.000    8.958    0.000 z3printer.py:576(pp_const)
  1568427    1.282    0.000    8.880    0.000 z3.py:1157(is_app)
   220965    0.408    0.000    8.693    0.000 z3.py:1256(is_app_of)
89678/52374    0.304    0.000    8.239    0.000 z3.py:2163(cast)
   211491    0.723    0.000    8.076    0.000 z3.py:1005(arg)
  2100724    1.585    0.000    7.838    0.000 z3.py:513(as_ast)
        5    0.022    0.004    7.510    1.502 scoping.py:79(get_unlinked_pvars)
  1568427    2.176    0.000    7.396    0.000 z3.py:450(_ast_kind)
        1    0.000    0.000    6.852    6.852 PDDLz3.py:68(get_skills)
        1    0.008    0.008    6.500    6.500 PDDLz3.py:48(str_grounded_actions2skills)
    18652    0.158    0.000    5.972    0.000 z3.py:1268(If)
   153995    0.379    0.000    5.747    0.000 z3.py:1392(cast)
   462139    1.152    0.000    5.737    0.000 z3.py:366(eq)
     1809    0.034    0.000    5.462    0.003 PDDLz3.py:312(action2effect_types)
   101233    0.152    0.000    5.438    0.000 z3printer.py:539(pp_name)
  2100724    2.886    0.000    5.102    0.000 z3core.py:2562(Z3_sort_to_ast)
   441468    0.980    0.000    4.952    0.000 z3.py:989(num_args)
   218913    0.288    0.000    4.947    0.000 z3.py:1088(_coerce_expr_merge)
        5    0.000    0.000    4.858    0.972 skill_classes.py:208(merge_skills_pddl)
  1808842    2.554    0.000    4.481    0.000 z3core.py:2817(Z3_get_ast_kind)
     7756    0.149    0.000    4.336    0.001 utils.py:261(get_atoms)
   307979    0.521    0.000    4.240    0.000 z3.py:2217(sort)
   101233    0.248    0.000    4.209    0.000 z3printer.py:216(_op_name)
   320470    0.508    0.000    4.139    0.000 z3.py:1426(sort)
  1491769    2.081    0.000    3.591    0.000 z3core.py:1480(Z3_inc_ref)
  1491769    2.087    0.000    3.584    0.000 z3core.py:1484(Z3_dec_ref)
        5    0.031    0.006    3.540    0.708 skill_classes.py:190(merge_skills_inner)
     9008    0.025    0.000    3.512    0.000 skill_classes.py:21(__init__)
  6001266    2.609    0.000    3.501    0.000 z3.py:362(ctx_ref)
   240415    0.620    0.000    3.493    0.000 z3.py:1041(_to_expr_ref)
   867540    0.696    0.000    3.382    0.000 z3.py:668(as_ast)
    55089    0.088    0.000    3.329    0.000 z3.py:1026(children)
   108330    0.149    0.000    3.038    0.000 z3.py:2241(is_real)
    73655    0.046    0.000    2.974    0.000 z3.py:1459(is_true)
    73655    0.043    0.000    2.933    0.000 z3.py:1476(is_false)
    73655    0.043    0.000    2.918    0.000 z3.py:1533(is_eq)
     2513    0.029    0.000    2.892    0.001 utils.py:31(simplify_disjunction)
      572    0.001    0.000    2.651    0.005 scoping.py:107(get_unlinked_pvars_inner_check)
     4326    0.005    0.000    2.629    0.001 utils.py:353(get_unique_z3_vars)
 23876296    2.622    0.000    2.622    0.000 z3types.py:19(from_param)
    55089    0.043    0.000    2.370    0.000 z3.py:1037(<listcomp>)
     4326    0.042    0.000    2.245    0.001 utils.py:359(get_unique_z3_vars_unsorted)
   867540    1.254    0.000    2.214    0.000 z3core.py:2672(Z3_func_decl_to_ast)
     6249    0.053    0.000    2.175    0.000 z3.py:1700(And)
   868864    1.247    0.000    2.163    0.000 z3core.py:2802(Z3_get_sort)
     8762    0.018    0.000    2.111    0.000 z3.py:1124(_coerce_expr_list)
 12959140    2.010    0.000    2.010    0.000 z3.py:196(ref)
   101755    0.130    0.000    1.999    0.000 z3.py:2560(is_int_value)
   101233    0.097    0.000    1.974    0.000 z3.py:1182(is_const)
   428743    0.354    0.000    1.690    0.000 z3.py:719(kind)
   101233    0.072    0.000    1.653    0.000 z3.py:2583(is_rational_value)
   101233    0.069    0.000    1.630    0.000 z3.py:2604(is_algebraic_value)
    26324    0.020    0.000    1.625    0.000 {method 'add' of 'set' objects}
    54687    0.080    0.000    1.601    0.000 z3.py:2227(is_int)
        5    0.000    0.000    1.597    0.319 scoping.py:52(get_causal_links)
    37304    0.048    0.000    1.467    0.000 z3.py:2930(_py2expr)
    37948    0.129    0.000    1.430    0.000 z3.py:2989(IntVal)
   106192    0.143    0.000    1.409    0.000 z3.py:677(name)
    30143    0.023    0.000    1.357    0.000 skill_classes.py:32(__eq__)
   462139    0.778    0.000    1.294    0.000 z3core.py:2787(Z3_is_eq_ast)
        5    0.026    0.005    1.275    0.255 skill_classes.py:177(group_skills_by_effects)
     1293    0.003    0.000    1.262    0.001 PDDLz3.py:321(<listcomp>)
     2099    0.010    0.000    1.257    0.001 PDDLz3.py:150(z3_identical)
   182749    0.144    0.000    1.226    0.000 skill_classes.py:59(__hash__)
1328/1292    0.010    0.000    1.200    0.001 z3printer.py:788(pp_infix)
   244104    0.108    0.000    1.147    0.000 z3.py:949(__hash__)
     8762    0.018    0.000    1.135    0.000 z3.py:1133(<listcomp>)
   433770    0.635    0.000    1.112    0.000 z3core.py:2772(Z3_get_app_decl)
   730996    0.143    0.000    1.082    0.000 {built-in method builtins.hash}
   428743    0.621    0.000    1.071    0.000 z3core.py:2692(Z3_get_decl_kind)
   441468    0.607    0.000    1.064    0.000 z3core.py:2777(Z3_get_app_num_args)
   443802    0.617    0.000    1.062    0.000 z3core.py:2572(Z3_get_sort_kind)
   244104    0.096    0.000    1.039    0.000 z3.py:329(__hash__)
  7139174    1.025    0.000    1.031    0.000 {built-in method builtins.isinstance}
     2513    0.006    0.000    1.024    0.000 z3.py:7667(as_expr)
  8181678    1.024    0.000    1.024    0.000 z3types.py:39(from_param)
