Mon Dec 28 18:36:20 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/existential-taxi/taxi-domain//existential-taxi/prob-02_nonverbose

         1230231 function calls (1223337 primitive calls) in 0.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.471    0.471 {built-in method builtins.exec}
        1    0.000    0.000    0.471    0.471 <string>:1(<module>)
        1    0.000    0.000    0.470    0.470 pddl_scoper.py:6(scope_pddl)
        1    0.000    0.000    0.388    0.388 scoping.py:69(scope)
     1759    0.001    0.000    0.346    0.000 z3.py:320(__str__)
     1759    0.003    0.000    0.346    0.000 z3printer.py:1236(obj_to_string)
     1759    0.001    0.000    0.327    0.000 z3printer.py:1132(__call__)
     1759    0.001    0.000    0.326    0.000 z3printer.py:1106(main)
2487/1759    0.003    0.000    0.324    0.000 z3printer.py:1000(pp_expr)
2487/1759    0.009    0.000    0.313    0.000 z3printer.py:917(pp_app)
      479    0.000    0.000    0.275    0.001 {built-in method builtins.sorted}
        4    0.000    0.000    0.218    0.054 skill_classes.py:200(merge_skills_pddl)
        4    0.000    0.000    0.164    0.041 skill_classes.py:221(sort_in_merge_skills)
       51    0.000    0.000    0.164    0.003 skill_classes.py:82(__lt__)
      102    0.000    0.000    0.164    0.002 skill_classes.py:75(__str__)
      102    0.000    0.000    0.164    0.002 skill_classes.py:71(__repr__)
        4    0.000    0.000    0.103    0.026 scoping.py:36(get_causal_links)
      121    0.000    0.000    0.102    0.001 skill_classes.py:33(__lt__)
     1874    0.003    0.000    0.102    0.000 z3printer.py:576(pp_const)
      172    0.000    0.000    0.098    0.001 skill_classes.py:39(__repr__)
      232    0.001    0.000    0.093    0.000 z3printer.py:788(pp_infix)
        4    0.000    0.000    0.083    0.021 scoping.py:7(skills2effects)
      232    0.000    0.000    0.076    0.000 z3printer.py:783(infix_args)
      232    0.002    0.000    0.075    0.000 z3printer.py:751(infix_args_core)
     5769    0.010    0.000    0.073    0.000 z3.py:974(decl)
     2273    0.003    0.000    0.073    0.000 z3printer.py:539(pp_name)
    13242    0.014    0.000    0.066    0.000 z3.py:307(__init__)
   111189    0.059    0.000    0.065    0.000 z3core.py:1417(Check)
    13242    0.013    0.000    0.064    0.000 z3.py:312(__del__)
  412/118    0.002    0.000    0.064    0.001 utils.py:307(get_atoms)
    17844    0.009    0.000    0.063    0.000 z3.py:1157(is_app)
     2273    0.003    0.000    0.055    0.000 z3printer.py:216(_op_name)
   167/89    0.000    0.000    0.053    0.001 z3printer.py:734(pp_prefix)
    17844    0.015    0.000    0.053    0.000 z3.py:450(_ast_kind)
     2790    0.002    0.000    0.047    0.000 z3.py:2241(is_real)
     4779    0.005    0.000    0.041    0.000 z3.py:2217(sort)
      848    0.001    0.000    0.039    0.000 z3.py:1026(children)
     2487    0.002    0.000    0.036    0.000 z3.py:2560(is_int_value)
     1277    0.003    0.000    0.032    0.000 z3.py:1005(arg)
    19179    0.018    0.000    0.032    0.000 z3core.py:2817(Z3_get_ast_kind)
    13042    0.006    0.000    0.032    0.000 z3.py:513(as_ast)
        1    0.000    0.000    0.032    0.032 PDDLz3.py:48(get_skills)
     4480    0.007    0.000    0.032    0.000 z3.py:989(num_args)
        1    0.000    0.000    0.031    0.031 PDDLz3.py:36(str_grounded_actions2skills)
     1609    0.002    0.000    0.029    0.000 z3.py:2227(is_int)
        4    0.000    0.000    0.029    0.007 scoping.py:47(get_unlinked_pvars)
      848    0.000    0.000    0.028    0.000 z3.py:1037(<listcomp>)
    11538    0.006    0.000    0.028    0.000 z3.py:668(as_ast)
     2273    0.001    0.000    0.026    0.000 z3.py:1182(is_const)
       18    0.025    0.001    0.025    0.001 {built-in method builtins.print}
     2273    0.001    0.000    0.025    0.000 z3.py:2583(is_rational_value)
     2273    0.001    0.000    0.025    0.000 z3.py:2604(is_algebraic_value)
        4    0.000    0.000    0.024    0.006 skill_classes.py:172(group_skills_by_effects)
      109    0.000    0.000    0.023    0.000 skill_classes.py:49(__init__)
       68    0.000    0.000    0.022    0.000 skill_classes.py:88(move_irrelevant2side_effects)
    13042    0.012    0.000    0.022    0.000 z3core.py:2562(Z3_sort_to_ast)
    13242    0.012    0.000    0.021    0.000 z3core.py:1480(Z3_inc_ref)
    13242    0.012    0.000    0.021    0.000 z3core.py:1484(Z3_dec_ref)
    11538    0.011    0.000    0.019    0.000 z3core.py:2672(Z3_func_decl_to_ast)
     2033    0.002    0.000    0.018    0.000 z3.py:677(name)
        4    0.000    0.000    0.017    0.004 scoping.py:22(get_unthreatened_conditions)
        4    0.000    0.000    0.017    0.004 skill_classes.py:182(merge_skills_inner)
       16    0.000    0.000    0.017    0.001 PDDLz3.py:254(action2effect_types)
    51403    0.012    0.000    0.016    0.000 z3.py:362(ctx_ref)
     1759    0.001    0.000    0.015    0.000 z3printer.py:509(__call__)
4329/1759    0.004    0.000    0.014    0.000 z3printer.py:493(pp)
     5720    0.003    0.000    0.014    0.000 z3.py:719(kind)
     1335    0.003    0.000    0.013    0.000 z3.py:1041(_to_expr_ref)
       24    0.000    0.000    0.013    0.001 utils.py:121(simplify_disjunction)
       44    0.000    0.000    0.013    0.000 utils.py:377(get_unique_z3_vars)
       82    0.000    0.000    0.012    0.000 z3.py:335(__bool__)
   222378    0.012    0.000    0.012    0.000 z3types.py:19(from_param)
     2033    0.002    0.000    0.012    0.000 z3.py:116(_symbol2py)
     6783    0.007    0.000    0.012    0.000 z3core.py:2802(Z3_get_sort)
  122/114    0.000    0.000    0.011    0.000 z3.py:1106(_coerce_exprs)
       94    0.000    0.000    0.011    0.000 z3.py:932(__eq__)
     4451    0.002    0.000    0.011    0.000 z3.py:519(kind)
      437    0.001    0.000    0.011    0.000 z3.py:1392(cast)
     4451    0.002    0.000    0.010    0.000 z3.py:508(_sort_kind)
     5769    0.005    0.000    0.010    0.000 z3core.py:2772(Z3_get_app_decl)
       50    0.000    0.000    0.009    0.000 utils.py:238(solver_implies_condition)
     5786    0.006    0.000    0.009    0.000 z3core.py:2572(Z3_get_sort_kind)
     5720    0.005    0.000    0.009    0.000 z3core.py:2692(Z3_get_decl_kind)
       44    0.000    0.000    0.009    0.000 utils.py:382(get_unique_z3_vars_unsorted)
   121858    0.009    0.000    0.009    0.000 z3.py:196(ref)
  349/283    0.000    0.000    0.009    0.000 z3printer.py:474(pp_choice)
      108    0.000    0.000    0.008    0.000 z3.py:1124(_coerce_expr_list)
   217/63    0.000    0.000    0.008    0.000 PDDLz3.py:163(compile_expression)
       68    0.000    0.000    0.008    0.000 z3.py:1700(And)
      887    0.002    0.000    0.008    0.000 z3.py:366(eq)
     5165    0.001    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     2798    0.001    0.000    0.008    0.000 z3.py:2131(is_real)
       16    0.000    0.000    0.007    0.000 PDDLz3.py:45(action2precondition)
     4480    0.004    0.000    0.007    0.000 z3core.py:2777(Z3_get_app_num_args)
    93490    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.007    0.007 scoping.py:152(<listcomp>)
       32    0.000    0.000    0.006    0.000 scoping.py:31(<listcomp>)
       20    0.000    0.000    0.006    0.000 PDDLz3.py:262(<listcomp>)
       20    0.000    0.000    0.006    0.000 PDDLz3.py:111(z3_identical)
        1    0.000    0.000    0.006    0.006 PDDLz3.py:62(get_init_cond_list)
     3200    0.003    0.000    0.006    0.000 z3printer.py:460(pp_string)
      246    0.000    0.000    0.006    0.000 z3.py:1256(is_app_of)
     2033    0.003    0.000    0.006    0.000 z3core.py:2542(Z3_get_symbol_string)
  566/283    0.001    0.000    0.006    0.000 z3printer.py:470(pp_compose)
       55    0.000    0.000    0.006    0.000 z3.py:6509(push)
       55    0.006    0.000    0.006    0.000 z3core.py:3741(Z3_solver_push)
      669    0.001    0.000    0.006    0.000 z3.py:1426(sort)
      454    0.000    0.000    0.006    0.000 z3.py:1088(_coerce_expr_merge)
  206/190    0.000    0.000    0.006    0.000 z3.py:2163(cast)
      167    0.000    0.000    0.005    0.000 z3printer.py:429(seq1)
       54    0.000    0.000    0.005    0.000 z3.py:6604(add)
     1653    0.001    0.000    0.005    0.000 z3.py:2145(is_int)
    19098    0.004    0.000    0.005    0.000 z3.py:412(is_ast)
      108    0.000    0.000    0.005    0.000 z3.py:1133(<listcomp>)
       54    0.000    0.000    0.005    0.000 z3.py:6585(assert_exprs)
      399    0.000    0.000    0.005    0.000 z3printer.py:404(group)
     3646    0.003    0.000    0.005    0.000 z3printer.py:387(to_format)
    68843    0.004    0.000    0.004    0.000 z3types.py:39(from_param)
     1609    0.001    0.000    0.004    0.000 z3.py:2554(_is_numeral)
       24    0.000    0.000    0.004    0.000 z3.py:7667(as_expr)
    41843    0.004    0.000    0.004    0.000 z3.py:903(as_ast)
  760/399    0.000    0.000    0.004    0.000 z3printer.py:331(flat)
       81    0.000    0.000    0.004    0.000 z3.py:1669(Not)
       44    0.000    0.000    0.004    0.000 utils.py:403(sort_z3_vars)
        1    0.000    0.000    0.004    0.004 z3.py:6493(__del__)
        1    0.004    0.004    0.004    0.004 z3core.py:3733(Z3_solver_dec_ref)
       30    0.000    0.000    0.004    0.000 utils.py:404(<lambda>)
       24    0.000    0.000    0.003    0.000 z3.py:5469(as_expr)
     2033    0.002    0.000    0.003    0.000 z3core.py:2687(Z3_get_decl_name)
     1326    0.001    0.000    0.003    0.000 z3printer.py:396(compose)
