Sat Dec 19 10:51:52 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft2/minecraft-contrived2//minecraft2/prob_irrel_nether_with_pick

         27468537 function calls (27306527 primitive calls) in 11.484 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.484   11.484 {built-in method builtins.exec}
        1    0.000    0.000   11.484   11.484 <string>:1(<module>)
        1    0.001    0.001   11.481   11.481 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001   10.167   10.167 scoping.py:69(scope)
    30741    0.064    0.000    7.715    0.000 z3printer.py:1236(obj_to_string)
    30588    0.014    0.000    7.705    0.000 z3.py:320(__str__)
    30741    0.014    0.000    7.308    0.000 z3printer.py:1132(__call__)
    30741    0.026    0.000    7.294    0.000 z3printer.py:1106(main)
42638/30741    0.053    0.000    7.254    0.000 z3printer.py:1000(pp_expr)
42638/30741    0.189    0.000    7.058    0.000 z3printer.py:917(pp_app)
     2347    0.004    0.000    6.071    0.003 {built-in method builtins.sorted}
        6    0.002    0.000    5.175    0.863 skill_classes.py:171(merge_skills_pddl)
      292    0.000    0.000    3.443    0.012 skill_classes.py:82(__lt__)
      584    0.000    0.000    3.442    0.006 skill_classes.py:75(__str__)
      584    0.003    0.000    3.442    0.006 skill_classes.py:71(__repr__)
        1    0.010    0.010    2.842    2.842 scoping.py:151(<listcomp>)
     3679    0.012    0.000    2.457    0.001 skill_classes.py:33(__lt__)
    34274    0.062    0.000    2.323    0.000 z3printer.py:576(pp_const)
 2565/584    0.011    0.000    2.286    0.004 z3printer.py:734(pp_prefix)
3642/2905    0.016    0.000    1.966    0.001 z3printer.py:788(pp_infix)
   320464    0.403    0.000    1.918    0.000 z3.py:307(__init__)
   120001    0.249    0.000    1.870    0.000 z3.py:974(decl)
   320464    0.389    0.000    1.863    0.000 z3.py:312(__del__)
  2572417    1.655    0.000    1.825    0.000 z3core.py:1417(Check)
      700    0.004    0.000    1.763    0.003 skill_classes.py:49(__init__)
3642/2905    0.005    0.000    1.710    0.001 z3printer.py:783(infix_args)
3642/2905    0.040    0.000    1.697    0.001 z3printer.py:751(infix_args_core)
    40481    0.054    0.000    1.614    0.000 z3printer.py:539(pp_name)
   373753    0.225    0.000    1.599    0.000 z3.py:1157(is_app)
     8388    0.019    0.000    1.595    0.000 z3.py:932(__eq__)
11238/8592    0.032    0.000    1.488    0.000 z3.py:1106(_coerce_exprs)
      522    0.002    0.000    1.406    0.003 skill_classes.py:88(move_irrelevant2side_effects)
        6    0.000    0.000    1.383    0.231 scoping.py:36(get_causal_links)
     8096    0.025    0.000    1.377    0.000 z3.py:335(__bool__)
   373753    0.376    0.000    1.342    0.000 z3.py:450(_ast_kind)
   125289    0.170    0.000    1.289    0.000 z3.py:2217(sort)
    40481    0.073    0.000    1.225    0.000 z3printer.py:216(_op_name)
6020/1897    0.024    0.000    1.203    0.001 utils.py:307(get_atoms)
    57028    0.058    0.000    1.191    0.000 z3.py:2241(is_real)
   376374    0.213    0.000    1.083    0.000 z3.py:513(as_ast)
21580/16288    0.039    0.000    1.009    0.000 z3.py:2163(cast)
    32840    0.080    0.000    0.992    0.000 z3.py:1005(arg)
     1743    0.004    0.000    0.932    0.001 skill_classes.py:39(__repr__)
   409555    0.483    0.000    0.843    0.000 z3core.py:2817(Z3_get_ast_kind)
    42638    0.045    0.000    0.838    0.000 z3.py:2560(is_int_value)
    93819    0.162    0.000    0.800    0.000 z3.py:989(num_args)
        6    0.000    0.000    0.741    0.123 scoping.py:7(skills2effects)
   376374    0.418    0.000    0.740    0.000 z3core.py:2562(Z3_sort_to_ast)
   240002    0.149    0.000    0.726    0.000 z3.py:668(as_ast)
    12402    0.020    0.000    0.715    0.000 z3.py:1026(children)
    24288    0.032    0.000    0.709    0.000 z3.py:1256(is_app_of)
    30671    0.036    0.000    0.684    0.000 z3.py:2227(is_int)
   320464    0.372    0.000    0.640    0.000 z3core.py:1480(Z3_inc_ref)
    40481    0.021    0.000    0.636    0.000 z3.py:2583(is_rational_value)
   320464    0.360    0.000    0.627    0.000 z3core.py:1484(Z3_dec_ref)
    40481    0.020    0.000    0.624    0.000 z3.py:2604(is_algebraic_value)
        6    0.003    0.000    0.615    0.102 scoping.py:22(get_unthreatened_conditions)
     2646    0.014    0.000    0.586    0.000 z3.py:1268(If)
    40481    0.028    0.000    0.564    0.000 z3.py:1182(is_const)
    12402    0.008    0.000    0.529    0.000 z3.py:1037(<listcomp>)
   240002    0.281    0.000    0.492    0.000 z3core.py:2672(Z3_func_decl_to_ast)
        1    0.000    0.000    0.465    0.465 PDDLz3.py:48(get_skills)
        1    0.000    0.000    0.453    0.453 PDDLz3.py:36(str_grounded_actions2skills)
    47403    0.085    0.000    0.450    0.000 z3.py:366(eq)
  1227000    0.340    0.000    0.449    0.000 z3.py:362(ctx_ref)
    35802    0.082    0.000    0.438    0.000 z3.py:1041(_to_expr_ref)
        6    0.001    0.000    0.400    0.067 scoping.py:47(get_unlinked_pvars)
    23505    0.020    0.000    0.389    0.000 z3.py:1088(_coerce_expr_merge)
    36514    0.037    0.000    0.385    0.000 z3.py:677(name)
   119818    0.076    0.000    0.365    0.000 z3.py:719(kind)
   174711    0.207    0.000    0.356    0.000 z3core.py:2802(Z3_get_sort)
