Mon Dec 28 18:55:40 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft2/minecraft-contrived2//minecraft2/prob_irrel_nether_with_pick_nonverbose

         27411954 function calls (27249944 primitive calls) in 34.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   34.429   34.429 {built-in method builtins.exec}
        1    0.001    0.001   34.429   34.429 <string>:1(<module>)
        1    0.003    0.003   34.419   34.419 pddl_scoper.py:6(scope_pddl)
        1    0.002    0.002   30.420   30.420 scoping.py:69(scope)
    30588    0.041    0.000   22.730    0.001 z3.py:320(__str__)
    30588    0.130    0.000   22.688    0.001 z3printer.py:1236(obj_to_string)
    30588    0.043    0.000   21.752    0.001 z3printer.py:1132(__call__)
    30588    0.083    0.000   21.709    0.001 z3printer.py:1106(main)
42485/30588    0.153    0.000   21.611    0.001 z3printer.py:1000(pp_expr)
42485/30588    0.645    0.000   21.064    0.001 z3printer.py:917(pp_app)
     2347    0.010    0.000   17.790    0.008 {built-in method builtins.sorted}
        6    0.000    0.000   14.988    2.498 skill_classes.py:198(merge_skills_pddl)
        6    0.000    0.000    9.869    1.645 skill_classes.py:219(sort_in_merge_skills)
      292    0.001    0.000    9.868    0.034 skill_classes.py:82(__lt__)
      584    0.001    0.000    9.866    0.017 skill_classes.py:75(__str__)
      584    0.007    0.000    9.865    0.017 skill_classes.py:71(__repr__)
        1    0.034    0.034    9.178    9.178 scoping.py:152(<listcomp>)
     3679    0.026    0.000    7.380    0.002 skill_classes.py:33(__lt__)
    34121    0.195    0.000    6.993    0.000 z3printer.py:576(pp_const)
 2565/584    0.027    0.000    6.592    0.011 z3printer.py:734(pp_prefix)
   319819    1.525    0.000    5.954    0.000 z3.py:307(__init__)
   319819    1.516    0.000    5.897    0.000 z3.py:312(__del__)
   119695    0.993    0.000    5.816    0.000 z3.py:974(decl)
3642/2905    0.048    0.000    5.735    0.002 z3printer.py:788(pp_infix)
      700    0.007    0.000    5.258    0.008 skill_classes.py:49(__init__)
     8388    0.073    0.000    5.162    0.001 z3.py:932(__eq__)
3642/2905    0.011    0.000    5.038    0.002 z3printer.py:783(infix_args)
3642/2905    0.117    0.000    4.998    0.002 z3printer.py:751(infix_args_core)
11238/8592    0.126    0.000    4.809    0.001 z3.py:1106(_coerce_exprs)
    40328    0.170    0.000    4.753    0.000 z3printer.py:539(pp_name)
   372988    0.613    0.000    4.698    0.000 z3.py:1157(is_app)
     8096    0.096    0.000    4.414    0.001 z3.py:335(__bool__)
  2567057    4.127    0.000    4.370    0.000 z3core.py:1417(Check)
        6    0.003    0.000    4.285    0.714 skill_classes.py:172(group_skills_by_effects)
      522    0.004    0.000    4.253    0.008 skill_classes.py:88(move_irrelevant2side_effects)
        6    0.000    0.000    4.205    0.701 scoping.py:36(get_causal_links)
   372988    1.636    0.000    4.053    0.000 z3.py:450(_ast_kind)
   124950    0.598    0.000    4.003    0.000 z3.py:2217(sort)
    56802    0.209    0.000    3.750    0.000 z3.py:2241(is_real)
    40328    0.198    0.000    3.645    0.000 z3printer.py:216(_op_name)
6020/1897    0.047    0.000    3.553    0.002 utils.py:307(get_atoms)
   375696    0.844    0.000    3.445    0.000 z3.py:513(as_ast)
21580/16288    0.159    0.000    3.258    0.000 z3.py:2163(cast)
    32840    0.345    0.000    3.036    0.000 z3.py:1005(arg)
     1743    0.007    0.000    2.689    0.002 skill_classes.py:39(__repr__)
    93666    0.657    0.000    2.508    0.000 z3.py:989(num_args)
    42485    0.164    0.000    2.506    0.000 z3.py:2560(is_int_value)
   408790    1.584    0.000    2.373    0.000 z3core.py:2817(Z3_get_ast_kind)
    24288    0.122    0.000    2.279    0.000 z3.py:1256(is_app_of)
        6    0.001    0.000    2.255    0.376 scoping.py:7(skills2effects)
   239390    0.562    0.000    2.245    0.000 z3.py:668(as_ast)
   375696    1.422    0.000    2.141    0.000 z3core.py:2562(Z3_sort_to_ast)
    12402    0.056    0.000    2.125    0.000 z3.py:1026(children)
    30558    0.118    0.000    2.061    0.000 z3.py:2227(is_int)
    40328    0.081    0.000    1.979    0.000 z3.py:2583(is_rational_value)
    40328    0.080    0.000    1.966    0.000 z3.py:2604(is_algebraic_value)
     2646    0.049    0.000    1.871    0.001 z3.py:1268(If)
        6    0.006    0.001    1.864    0.311 scoping.py:22(get_unthreatened_conditions)
   319819    1.214    0.000    1.817    0.000 z3core.py:1480(Z3_inc_ref)
