Sat Dec 19 10:25:51 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft2/minecraft-contrived2//minecraft2/prob_irrel_nether_with_pick

         77423443 function calls (77206082 primitive calls) in 25.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   25.743   25.743 {built-in method builtins.exec}
        1    0.000    0.000   25.743   25.743 <string>:1(<module>)
        1    0.001    0.001   25.741   25.741 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001   20.018   20.018 scoping.py:67(scope)
    60926    0.116    0.000    9.985    0.000 z3.py:932(__eq__)
        6    0.000    0.000    9.509    1.585 scoping.py:34(get_causal_links)
82031/61130    0.201    0.000    9.250    0.000 z3.py:1106(_coerce_exprs)
        6    0.003    0.000    8.867    1.478 scoping.py:22(get_unthreatened_conditions)
    60634    0.155    0.000    8.643    0.000 z3.py:335(__bool__)
     1062    0.030    0.000    8.510    0.008 scoping.py:29(<listcomp>)
      180    0.000    0.000    8.259    0.046 utils.py:377(get_unique_z3_vars)
      180    0.030    0.000    8.184    0.045 utils.py:382(get_unique_z3_vars_unsorted)
157626/115824    0.241    0.000    6.365    0.000 z3.py:2163(cast)
    29907    0.053    0.000    6.174    0.000 z3printer.py:1236(obj_to_string)
    29717    0.011    0.000    6.159    0.000 z3.py:320(__str__)
    29907    0.011    0.000    5.850    0.000 z3printer.py:1132(__call__)
    29907    0.022    0.000    5.838    0.000 z3printer.py:1106(main)
41804/29907    0.042    0.000    5.805    0.000 z3printer.py:1000(pp_expr)
41804/29907    0.156    0.000    5.648    0.000 z3printer.py:917(pp_app)
        1    0.000    0.000    4.952    4.952 PDDLz3.py:62(get_init_cond_list)
     2347    0.003    0.000    4.928    0.002 {built-in method builtins.sorted}
  1044039    1.051    0.000    4.782    0.000 z3.py:307(__init__)
  1044039    1.014    0.000    4.638    0.000 z3.py:312(__del__)
  7811657    4.050    0.000    4.458    0.000 z3core.py:1417(Check)
   181902    0.197    0.000    4.458    0.000 z3.py:1256(is_app_of)
        6    0.002    0.000    4.192    0.699 skill_classes.py:171(merge_skills_pddl)
    20901    0.093    0.000    3.862    0.000 z3.py:1268(If)
  1546638    0.699    0.000    3.578    0.000 z3.py:513(as_ast)
   275947    0.466    0.000    3.460    0.000 z3.py:974(decl)
   138502    0.275    0.000    3.386    0.000 z3.py:1005(arg)
   949997    0.495    0.000    3.307    0.000 z3.py:1157(is_app)
   359509    0.378    0.000    2.950    0.000 z3.py:2217(sort)
      292    0.000    0.000    2.766    0.009 skill_classes.py:82(__lt__)
      584    0.000    0.000    2.766    0.005 skill_classes.py:75(__str__)
      584    0.003    0.000    2.766    0.005 skill_classes.py:71(__repr__)
   949997    0.788    0.000    2.748    0.000 z3.py:450(_ast_kind)
   330425    0.484    0.000    2.565    0.000 z3.py:366(eq)
  1546638    1.374    0.000    2.445    0.000 z3core.py:2562(Z3_sort_to_ast)
   165091    0.120    0.000    2.279    0.000 z3.py:1088(_coerce_expr_merge)
     3763    0.010    0.000    2.035    0.001 skill_classes.py:33(__lt__)
        1    0.007    0.007    1.987    1.987 scoping.py:148(<listcomp>)
    33440    0.051    0.000    1.846    0.000 z3printer.py:576(pp_const)
 2565/584    0.009    0.000    1.835    0.003 z3printer.py:734(pp_prefix)
  1109716    1.019    0.000    1.796    0.000 z3core.py:2817(Z3_get_ast_kind)
   251847    0.346    0.000    1.736    0.000 z3.py:989(num_args)
  1044039    0.980    0.000    1.680    0.000 z3core.py:1480(Z3_inc_ref)
  1044039    0.947    0.000    1.647    0.000 z3core.py:1484(Z3_dec_ref)
3642/2905    0.013    0.000    1.576    0.001 z3printer.py:788(pp_infix)
   159719    0.288    0.000    1.556    0.000 z3.py:1041(_to_expr_ref)
    60634    0.022    0.000    1.538    0.000 z3.py:1459(is_true)
    60634    0.020    0.000    1.493    0.000 z3.py:1476(is_false)
    60634    0.020    0.000    1.488    0.000 z3.py:1533(is_eq)
      700    0.003    0.000    1.455    0.002 skill_classes.py:49(__init__)
3642/2905    0.003    0.000    1.370    0.000 z3printer.py:783(infix_args)
3642/2905    0.032    0.000    1.360    0.000 z3printer.py:751(infix_args_core)
   551894    0.267    0.000    1.327    0.000 z3.py:668(as_ast)
    39647    0.045    0.000    1.285    0.000 z3printer.py:539(pp_name)
6682/1973    0.024    0.000    1.187    0.001 utils.py:307(get_atoms)
      522    0.002    0.000    1.157    0.002 skill_classes.py:88(move_irrelevant2side_effects)
  3920127    0.876    0.000    1.156    0.000 z3.py:362(ctx_ref)
    39647    0.060    0.000    0.976    0.000 z3printer.py:216(_op_name)
   598527    0.556    0.000    0.968    0.000 z3core.py:2802(Z3_get_sort)
    41802    0.030    0.000    0.968    0.000 z3.py:2930(_py2expr)
    56120    0.047    0.000    0.947    0.000 z3.py:2241(is_real)
    42148    0.087    0.000    0.931    0.000 z3.py:2989(IntVal)
   551894    0.512    0.000    0.905    0.000 z3core.py:2672(Z3_func_decl_to_ast)
 15623314    0.851    0.000    0.851    0.000 z3types.py:19(from_param)
     1743    0.003    0.000    0.752    0.000 skill_classes.py:39(__repr__)
    30032    0.048    0.000    0.715    0.000 z3.py:1392(cast)
   275764    0.137    0.000    0.674    0.000 z3.py:719(kind)
    41804    0.035    0.000    0.664    0.000 z3.py:2560(is_int_value)
    79299    0.084    0.000    0.653    0.000 z3.py:1426(sort)
        6    0.002    0.000    0.629    0.105 scoping.py:45(get_unlinked_pvars)
        6    0.000    0.000    0.618    0.103 scoping.py:7(skills2effects)
  8536623    0.616    0.000    0.616    0.000 z3.py:196(ref)
    13064    0.018    0.000    0.599    0.000 z3.py:1026(children)
   330425    0.350    0.000    0.589    0.000 z3core.py:2787(Z3_is_eq_ast)
    30217    0.029    0.000    0.541    0.000 z3.py:2227(is_int)
    39647    0.017    0.000    0.505    0.000 z3.py:2583(is_rational_value)
    39647    0.016    0.000    0.498    0.000 z3.py:2604(is_algebraic_value)
   298207    0.269    0.000    0.471    0.000 z3core.py:2572(Z3_get_sort_kind)
    39647    0.023    0.000    0.456    0.000 z3.py:1182(is_const)
   275947    0.264    0.000    0.456    0.000 z3core.py:2772(Z3_get_app_decl)
   275764    0.260    0.000    0.451    0.000 z3core.py:2692(Z3_get_decl_kind)
    13064    0.007    0.000    0.439    0.000 z3.py:1037(<listcomp>)
   251847    0.227    0.000    0.403    0.000 z3core.py:2777(Z3_get_app_num_args)
        1    0.000    0.000    0.390    0.390 PDDLz3.py:48(get_skills)
  1344777    0.294    0.000    0.381    0.000 z3.py:412(is_ast)
