Tue Dec 29 16:04:32 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft3/minecraft-contrived3//minecraft3/prob_scoping_sanity_check_nonverbose

         26445658 function calls (26146190 primitive calls) in 8.891 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.891    8.891 {built-in method builtins.exec}
        1    0.000    0.000    8.891    8.891 <string>:1(<module>)
        1    0.001    0.001    8.888    8.888 pddl_scoper.py:6(scope_pddl)
    34792    0.014    0.000    7.616    0.000 z3.py:320(__str__)
    34804    0.062    0.000    7.604    0.000 z3printer.py:1236(obj_to_string)
        1    0.001    0.001    7.233    7.233 scoping.py:79(scope)
    34804    0.013    0.000    7.153    0.000 z3printer.py:1132(__call__)
    34804    0.025    0.000    7.140    0.000 z3printer.py:1106(main)
51208/34804    0.053    0.000    7.103    0.000 z3printer.py:1000(pp_expr)
51208/34804    0.191    0.000    6.926    0.000 z3printer.py:917(pp_app)
     2805    0.003    0.000    6.069    0.002 {built-in method builtins.sorted}
        5    0.000    0.000    5.335    1.067 skill_classes.py:198(merge_skills_pddl)
        5    0.000    0.000    3.602    0.720 skill_classes.py:219(sort_in_merge_skills)
      239    0.000    0.000    3.601    0.015 skill_classes.py:82(__lt__)
      478    0.000    0.000    3.601    0.008 skill_classes.py:75(__str__)
      478    0.003    0.000    3.601    0.008 skill_classes.py:71(__repr__)
 5211/463    0.016    0.000    2.656    0.006 z3printer.py:734(pp_prefix)
     4725    0.011    0.000    2.371    0.001 skill_classes.py:33(__lt__)
    40322    0.059    0.000    2.153    0.000 z3printer.py:576(pp_const)
      890    0.003    0.000    1.871    0.002 skill_classes.py:49(__init__)
3985/3389    0.014    0.000    1.788    0.001 z3printer.py:788(pp_infix)
3985/3389    0.004    0.000    1.555    0.000 z3printer.py:783(infix_args)
3985/3389    0.035    0.000    1.542    0.000 z3printer.py:751(infix_args_core)
    49518    0.050    0.000    1.534    0.000 z3printer.py:539(pp_name)
   120999    0.205    0.000    1.530    0.000 z3.py:974(decl)
        5    0.001    0.000    1.472    0.294 skill_classes.py:172(group_skills_by_effects)
      680    0.002    0.000    1.457    0.002 skill_classes.py:88(move_irrelevant2side_effects)
   278439    0.289    0.000    1.381    0.000 z3.py:307(__init__)
7184/1289    0.026    0.000    1.363    0.001 utils.py:307(get_atoms)
   278439    0.271    0.000    1.324    0.000 z3.py:312(__del__)
  2316879    1.193    0.000    1.313    0.000 z3core.py:1417(Check)
   373241    0.193    0.000    1.309    0.000 z3.py:1157(is_app)
    49518    0.070    0.000    1.163    0.000 z3printer.py:216(_op_name)
    67312    0.054    0.000    1.112    0.000 z3.py:2241(is_real)
   373241    0.308    0.000    1.090    0.000 z3.py:450(_ast_kind)
   113666    0.123    0.000    0.942    0.000 z3.py:2217(sort)
    16414    0.022    0.000    0.773    0.000 z3.py:1026(children)
        5    0.000    0.000    0.769    0.154 scoping.py:37(get_causal_links)
    51208    0.041    0.000    0.765    0.000 z3.py:2560(is_int_value)
        1    0.000    0.000    0.698    0.698 PDDLz3.py:48(get_skills)
        1    0.001    0.001    0.686    0.686 PDDLz3.py:36(str_grounded_actions2skills)
   400534    0.388    0.000    0.670    0.000 z3core.py:2817(Z3_get_ast_kind)
    26684    0.055    0.000    0.662    0.000 z3.py:1005(arg)
     1564    0.003    0.000    0.661    0.000 skill_classes.py:39(__repr__)
    94574    0.136    0.000    0.655    0.000 z3.py:989(num_args)
   273534    0.128    0.000    0.637    0.000 z3.py:513(as_ast)
    35346    0.032    0.000    0.622    0.000 z3.py:2227(is_int)
    49518    0.021    0.000    0.596    0.000 z3.py:2583(is_rational_value)
   241998    0.117    0.000    0.589    0.000 z3.py:668(as_ast)
    49518    0.019    0.000    0.583    0.000 z3.py:2604(is_algebraic_value)
    16414    0.009    0.000    0.577    0.000 z3.py:1037(<listcomp>)
    49518    0.028    0.000    0.555    0.000 z3.py:1182(is_const)
        5    0.000    0.000    0.543    0.109 scoping.py:7(skills2effects)
   278439    0.265    0.000    0.451    0.000 z3core.py:1480(Z3_inc_ref)
        5    0.001    0.000    0.444    0.089 scoping.py:57(get_unlinked_pvars)
   278439    0.255    0.000    0.439    0.000 z3core.py:1484(Z3_dec_ref)
   273534    0.246    0.000    0.434    0.000 z3core.py:2562(Z3_sort_to_ast)
   241998    0.235    0.000    0.406    0.000 z3core.py:2672(Z3_func_decl_to_ast)
        1    0.001    0.001    0.385    0.385 scoping.py:172(<listcomp>)
    34804    0.026    0.000    0.378    0.000 z3printer.py:509(__call__)
98075/34804    0.078    0.000    0.352    0.000 z3printer.py:493(pp)
    41174    0.035    0.000    0.344    0.000 z3.py:677(name)
  1071623    0.237    0.000    0.312    0.000 z3.py:362(ctx_ref)
3321/2956    0.007    0.000    0.297    0.000 z3.py:1106(_coerce_exprs)
   120850    0.059    0.000    0.295    0.000 z3.py:719(kind)
     2391    0.004    0.000    0.292    0.000 z3.py:932(__eq__)
     5211    0.013    0.000    0.289    0.000 z3printer.py:429(seq1)
     1958    0.005    0.000    0.276    0.000 z3.py:335(__bool__)
    27293    0.051    0.000    0.273    0.000 z3.py:1041(_to_expr_ref)
      213    0.000    0.000    0.272    0.001 utils.py:377(get_unique_z3_vars)
      135    0.002    0.000    0.261    0.002 PDDLz3.py:254(action2effect_types)
   104608    0.035    0.000    0.257    0.000 z3.py:519(kind)
        5    0.001    0.000    0.255    0.051 skill_classes.py:182(merge_skills_inner)
6396/1266    0.005    0.000    0.248    0.000 z3printer.py:474(pp_choice)
  4633758    0.248    0.000    0.248    0.000 z3types.py:19(from_param)
     9196    0.006    0.000    0.246    0.000 z3printer.py:404(group)
   147324    0.140    0.000    0.242    0.000 z3core.py:2802(Z3_get_sort)
    41174    0.039    0.000    0.229    0.000 z3.py:116(_symbol2py)
53289/9196    0.033    0.000    0.225    0.000 z3printer.py:331(flat)
   104608    0.048    0.000    0.223    0.000 z3.py:508(_sort_kind)
      213    0.003    0.000    0.221    0.001 utils.py:382(get_unique_z3_vars_unsorted)
14407/1266    0.012    0.000    0.215    0.000 z3printer.py:470(pp_compose)
   131901    0.123    0.000    0.211    0.000 z3core.py:2572(Z3_get_sort_kind)
        5    0.001    0.000    0.206    0.041 scoping.py:22(get_unthreatened_conditions)
53289/9196    0.038    0.000    0.200    0.000 z3printer.py:332(<listcomp>)
   120850    0.117    0.000    0.199    0.000 z3core.py:2692(Z3_get_decl_kind)
   120999    0.114    0.000    0.198    0.000 z3core.py:2772(Z3_get_app_decl)
    67677    0.023    0.000    0.186    0.000 z3.py:2131(is_real)
6396/5666    0.008    0.000    0.183    0.000 z3.py:2163(cast)
  2541029    0.183    0.000    0.183    0.000 z3.py:196(ref)
18673/5211    0.010    0.000    0.180    0.000 z3printer.py:355(flat)
  2115423    0.156    0.000    0.156    0.000 {built-in method builtins.isinstance}
     7930    0.003    0.000    0.155    0.000 z3printer.py:341(flat)
    94574    0.087    0.000    0.152    0.000 z3core.py:2777(Z3_get_app_num_args)
     5874    0.007    0.000    0.142    0.000 z3.py:1256(is_app_of)
    67696    0.042    0.000    0.141    0.000 z3printer.py:396(compose)
      135    0.000    0.000    0.139    0.001 PDDLz3.py:45(action2precondition)
    68991    0.060    0.000    0.125    0.000 z3printer.py:460(pp_string)
    15110    0.022    0.000    0.120    0.000 z3.py:366(eq)
    41174    0.054    0.000    0.119    0.000 z3core.py:2542(Z3_get_symbol_string)
    36931    0.014    0.000    0.109    0.000 z3.py:2145(is_int)
