Tue Dec 29 16:00:07 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft3/minecraft-contrived3//minecraft3/prob_scoping_sanity_check_nonverbose

         34787905 function calls (34478873 primitive calls) in 11.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.279   11.279 {built-in method builtins.exec}
        1    0.000    0.000   11.279   11.279 <string>:1(<module>)
        1    0.001    0.001   11.276   11.276 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001    9.631    9.631 scoping.py:96(scope)
    34237    0.013    0.000    7.331    0.000 z3.py:320(__str__)
    34249    0.058    0.000    7.320    0.000 z3printer.py:1236(obj_to_string)
    34249    0.014    0.000    6.878    0.000 z3printer.py:1132(__call__)
    34249    0.023    0.000    6.864    0.000 z3printer.py:1106(main)
50653/34249    0.051    0.000    6.829    0.000 z3printer.py:1000(pp_expr)
50653/34249    0.183    0.000    6.659    0.000 z3printer.py:917(pp_app)
     2805    0.003    0.000    5.864    0.002 {built-in method builtins.sorted}
        5    0.000    0.000    5.148    1.030 skill_classes.py:198(merge_skills_pddl)
        5    0.000    0.000    3.440    0.688 skill_classes.py:219(sort_in_merge_skills)
      239    0.000    0.000    3.440    0.014 skill_classes.py:82(__lt__)
      478    0.000    0.000    3.440    0.007 skill_classes.py:75(__str__)
      478    0.002    0.000    3.440    0.007 skill_classes.py:71(__repr__)
        5    0.000    0.000    3.378    0.676 scoping.py:49(get_causal_links)
        5    0.001    0.000    2.831    0.566 scoping.py:37(get_unthreatened_conditions_slow)
      395    0.010    0.000    2.699    0.007 scoping.py:45(<listcomp>)
 5211/463    0.015    0.000    2.540    0.005 z3printer.py:734(pp_prefix)
     4725    0.011    0.000    2.331    0.000 skill_classes.py:33(__lt__)
    39767    0.057    0.000    2.079    0.000 z3printer.py:576(pp_const)
   399870    0.394    0.000    1.866    0.000 z3.py:307(__init__)
      890    0.003    0.000    1.846    0.002 skill_classes.py:49(__init__)
   399870    0.379    0.000    1.807    0.000 z3.py:312(__del__)
   146517    0.240    0.000    1.789    0.000 z3.py:974(decl)
  3193290    1.606    0.000    1.765    0.000 z3core.py:1417(Check)
    11267    0.021    0.000    1.723    0.000 z3.py:932(__eq__)
3985/3389    0.013    0.000    1.709    0.001 z3printer.py:788(pp_infix)
15385/11832    0.036    0.000    1.623    0.000 z3.py:1106(_coerce_exprs)
   468102    0.226    0.000    1.567    0.000 z3.py:1157(is_app)
    10834    0.027    0.000    1.488    0.000 z3.py:335(__bool__)
3985/3389    0.004    0.000    1.485    0.000 z3printer.py:783(infix_args)
    48963    0.049    0.000    1.477    0.000 z3printer.py:539(pp_name)
3985/3389    0.033    0.000    1.473    0.000 z3printer.py:751(infix_args_core)
        5    0.001    0.000    1.460    0.292 skill_classes.py:172(group_skills_by_effects)
      680    0.002    0.000    1.446    0.002 skill_classes.py:88(move_irrelevant2side_effects)
7184/1289    0.026    0.000    1.353    0.001 utils.py:307(get_atoms)
   468102    0.372    0.000    1.311    0.000 z3.py:450(_ast_kind)
   152227    0.156    0.000    1.227    0.000 z3.py:2217(sort)
    48963    0.066    0.000    1.118    0.000 z3printer.py:216(_op_name)
29508/22402    0.042    0.000    1.100    0.000 z3.py:2163(cast)
    66454    0.051    0.000    1.076    0.000 z3.py:2241(is_real)
   471736    0.216    0.000    1.073    0.000 z3.py:513(as_ast)
    44436    0.087    0.000    1.050    0.000 z3.py:1005(arg)
   516335    0.470    0.000    0.823    0.000 z3core.py:2817(Z3_get_ast_kind)
   120647    0.165    0.000    0.804    0.000 z3.py:989(num_args)
    32502    0.035    0.000    0.767    0.000 z3.py:1256(is_app_of)
    16414    0.021    0.000    0.741    0.000 z3.py:1026(children)
    50653    0.039    0.000    0.740    0.000 z3.py:2560(is_int_value)
   471736    0.412    0.000    0.728    0.000 z3core.py:2562(Z3_sort_to_ast)
   293034    0.139    0.000    0.691    0.000 z3.py:668(as_ast)
        1    0.000    0.000    0.691    0.691 PDDLz3.py:48(get_skills)
        1    0.001    0.001    0.679    0.679 PDDLz3.py:36(str_grounded_actions2skills)
     3553    0.016    0.000    0.634    0.000 z3.py:1268(If)
   399870    0.365    0.000    0.626    0.000 z3core.py:1480(Z3_inc_ref)
     1564    0.003    0.000    0.625    0.000 skill_classes.py:39(__repr__)
   399870    0.355    0.000    0.615    0.000 z3core.py:1484(Z3_dec_ref)
    34917    0.031    0.000    0.602    0.000 z3.py:2227(is_int)
    48963    0.020    0.000    0.575    0.000 z3.py:2583(is_rational_value)
    48963    0.018    0.000    0.565    0.000 z3.py:2604(is_algebraic_value)
    16414    0.009    0.000    0.552    0.000 z3.py:1037(<listcomp>)
    48963    0.027    0.000    0.533    0.000 z3.py:1182(is_const)
        5    0.000    0.000    0.527    0.105 scoping.py:7(skills2effects)
    63366    0.091    0.000    0.480    0.000 z3.py:366(eq)
   293034    0.272    0.000    0.472    0.000 z3core.py:2672(Z3_func_decl_to_ast)
    48233    0.088    0.000    0.458    0.000 z3.py:1041(_to_expr_ref)
        5    0.001    0.000    0.441    0.088 scoping.py:74(get_unlinked_pvars)
  1522456    0.330    0.000    0.438    0.000 z3.py:362(ctx_ref)
    32579    0.022    0.000    0.429    0.000 z3.py:1088(_coerce_expr_merge)
    34249    0.029    0.000    0.374    0.000 z3printer.py:509(__call__)
        1    0.001    0.001    0.373    0.373 scoping.py:191(<listcomp>)
   218421    0.202    0.000    0.349    0.000 z3core.py:2802(Z3_get_sort)
   146368    0.069    0.000    0.346    0.000 z3.py:719(kind)
97520/34249    0.074    0.000    0.345    0.000 z3printer.py:493(pp)
    40619    0.034    0.000    0.331    0.000 z3.py:677(name)
  6386580    0.329    0.000    0.329    0.000 z3types.py:19(from_param)
     5211    0.012    0.000    0.275    0.000 z3printer.py:429(seq1)
   112054    0.038    0.000    0.268    0.000 z3.py:519(kind)
    10834    0.004    0.000    0.265    0.000 z3.py:1459(is_true)
      213    0.000    0.000    0.265    0.001 utils.py:377(get_unique_z3_vars)
      135    0.002    0.000    0.259    0.002 PDDLz3.py:254(action2effect_types)
    10834    0.004    0.000    0.256    0.000 z3.py:1533(is_eq)
    10834    0.003    0.000    0.256    0.000 z3.py:1476(is_false)
  3496991    0.248    0.000    0.248    0.000 z3.py:196(ref)
   160287    0.140    0.000    0.243    0.000 z3core.py:2572(Z3_get_sort_kind)
6396/1266    0.005    0.000    0.242    0.000 z3printer.py:474(pp_choice)
        5    0.001    0.000    0.241    0.048 skill_classes.py:182(merge_skills_inner)
   146517    0.135    0.000    0.235    0.000 z3core.py:2772(Z3_get_app_decl)
     9196    0.006    0.000    0.234    0.000 z3printer.py:404(group)
   146368    0.136    0.000    0.233    0.000 z3core.py:2692(Z3_get_decl_kind)
   112054    0.050    0.000    0.230    0.000 z3.py:508(_sort_kind)
    40619    0.037    0.000    0.219    0.000 z3.py:116(_symbol2py)
      213    0.002    0.000    0.216    0.001 utils.py:382(get_unique_z3_vars_unsorted)
53289/9196    0.031    0.000    0.214    0.000 z3printer.py:331(flat)
14407/1266    0.012    0.000    0.209    0.000 z3printer.py:470(pp_compose)
53289/9196    0.037    0.000    0.190    0.000 z3printer.py:332(<listcomp>)
   120647    0.109    0.000    0.189    0.000 z3core.py:2777(Z3_get_app_num_args)
    70007    0.024    0.000    0.188    0.000 z3.py:2131(is_real)
  2506221    0.181    0.000    0.181    0.000 {built-in method builtins.isinstance}
     8027    0.011    0.000    0.181    0.000 z3.py:1392(cast)
18673/5211    0.009    0.000    0.171    0.000 z3printer.py:355(flat)
     7981    0.015    0.000    0.169    0.000 z3.py:2989(IntVal)
     7106    0.005    0.000    0.157    0.000 z3.py:2930(_py2expr)
     7930    0.003    0.000    0.146    0.000 z3printer.py:341(flat)
    17961    0.019    0.000    0.143    0.000 z3.py:1426(sort)
      135    0.000    0.000    0.139    0.001 PDDLz3.py:45(action2precondition)
    67696    0.042    0.000    0.137    0.000 z3printer.py:396(compose)
   545099    0.100    0.000    0.134    0.000 z3.py:412(is_ast)
    68436    0.062    0.000    0.126    0.000 z3printer.py:460(pp_string)
    42047    0.016    0.000    0.119    0.000 z3.py:2145(is_int)
  2056488    0.118    0.000    0.118    0.000 z3types.py:39(from_param)
    40619    0.052    0.000    0.114    0.000 z3core.py:2542(Z3_get_symbol_string)
    63366    0.066    0.000    0.110    0.000 z3core.py:2787(Z3_is_eq_ast)
  1197757    0.105    0.000    0.105    0.000 z3.py:903(as_ast)
      443    0.000    0.000    0.104    0.000 PDDLz3.py:262(<listcomp>)
      348    0.001    0.000    0.104    0.000 PDDLz3.py:111(z3_identical)
        1    0.000    0.000    0.101    0.101 PDDLz3.py:62(get_init_cond_list)
    76892    0.045    0.000    0.101    0.000 z3printer.py:312(__init__)
4083/1702    0.005    0.000    0.097    0.000 PDDLz3.py:163(compile_expression)
     6396    0.002    0.000    0.095    0.000 z3printer.py:383(fits)
49744/6396    0.040    0.000    0.092    0.000 z3printer.py:323(space_upto_nl)
    80702    0.056    0.000    0.091    0.000 z3printer.py:387(to_format)
    44436    0.057    0.000    0.086    0.000 z3core.py:2782(Z3_get_app_arg)
      285    0.001    0.000    0.083    0.000 z3.py:1700(And)
    34917    0.016    0.000    0.080    0.000 z3.py:2554(_is_numeral)
      363    0.000    0.000    0.079    0.000 z3.py:1124(_coerce_expr_list)
18520/5058    0.005    0.000    0.076    0.000 z3printer.py:353(space_upto_nl)
    99021    0.015    0.000    0.070    0.000 {method 'get' of 'dict' objects}
    40619    0.039    0.000    0.066    0.000 z3core.py:2687(Z3_get_decl_name)
    40619    0.036    0.000    0.062    0.000 z3core.py:2532(Z3_get_symbol_kind)
     8273    0.008    0.000    0.062    0.000 z3.py:2942(IntSort)
    34917    0.038    0.000    0.062    0.000 z3core.py:2827(Z3_is_numeral_ast)
    77632    0.040    0.000    0.059    0.000 z3printer.py:410(_len)
     9196    0.019    0.000    0.057    0.000 z3printer.py:416(seq)
       74    0.001    0.000    0.054    0.001 utils.py:121(simplify_disjunction)
      213    0.000    0.000    0.049    0.000 utils.py:403(sort_z3_vars)
      378    0.000    0.000    0.048    0.000 utils.py:404(<lambda>)
    76892    0.034    0.000    0.048    0.000 z3printer.py:313(<listcomp>)
   122748    0.033    0.000    0.047    0.000 z3printer.py:380(space_upto_nl)
        1    0.000    0.000    0.046    0.046 PDDLz3.py:77(<listcomp>)
      244    0.001    0.000    0.046    0.000 utils.py:238(solver_implies_condition)
   148579    0.032    0.000    0.043    0.000 z3.py:2498(is_arith)
      363    0.001    0.000    0.042    0.000 z3.py:1133(<listcomp>)
   641061    0.041    0.000    0.041    0.000 z3types.py:31(from_param)
      135    0.001    0.000    0.040    0.000 PDDLz3.py:46(<listcomp>)
     5034    0.006    0.000    0.040    0.000 z3.py:1553(BoolSort)
    12023    0.003    0.000    0.038    0.000 z3.py:949(__hash__)
    42309    0.025    0.000    0.037    0.000 z3core.py:83(_to_pystr)
      363    0.001    0.000    0.036    0.000 z3.py:1118(_reduce)
   427107    0.035    0.000    0.035    0.000 z3.py:231(_get_ctx)
      433    0.000    0.000    0.035    0.000 PDDLz3.py:88(<lambda>)
   123496    0.026    0.000    0.035    0.000 z3.py:1135(is_expr)
    12023    0.003    0.000    0.035    0.000 z3.py:329(__hash__)
   417548    0.035    0.000    0.035    0.000 z3.py:56(z3_debug)
     4591    0.003    0.000    0.034    0.000 skill_classes.py:45(__hash__)
      209    0.000    0.000    0.033    0.000 skill_classes.py:107(params)
    12023    0.008    0.000    0.032    0.000 z3.py:402(hash)
    18364    0.004    0.000    0.031    0.000 {built-in method builtins.hash}
   480021    0.031    0.000    0.031    0.000 z3types.py:35(from_param)
   454200    0.031    0.000    0.031    0.000 z3.py:94(_z3_assert)
      845    0.002    0.000    0.030    0.000 z3.py:1669(Not)
    48963    0.013    0.000    0.029    0.000 z3.py:3737(is_bv_value)
    48963    0.015    0.000    0.028    0.000 z3.py:7360(is_finite_domain_value)
    48963    0.014    0.000    0.028    0.000 z3.py:9089(is_fprm_value)
    71506    0.022    0.000    0.026    0.000 z3printer.py:373(__init__)
    48963    0.012    0.000    0.025    0.000 z3.py:9226(is_fp_value)
    11267    0.016    0.000    0.024    0.000 z3core.py:1722(Z3_mk_eq)
    97926    0.017    0.000    0.024    0.000 z3.py:9213(is_fp)
     7981    0.012    0.000    0.024    0.000 z3core.py:2192(Z3_mk_numeral)
      179    0.000    0.000    0.022    0.000 scoping.py:92(<lambda>)
      249    0.000    0.000    0.021    0.000 z3.py:6604(add)
        3    0.000    0.000    0.021    0.007 utils.py:49(pvars2objects)
        3    0.000    0.000    0.020    0.007 utils.py:158(condition_str2objects)
299912/299871    0.020    0.000    0.020    0.000 {built-in method builtins.len}
    23884    0.008    0.000    0.020    0.000 z3printer.py:401(indent)
        5    0.000    0.000    0.020    0.004 scoping.py:15(effects2pvars)
      249    0.001    0.000    0.019    0.000 z3.py:6585(assert_exprs)
    12023    0.011    0.000    0.019    0.000 z3core.py:2797(Z3_get_ast_hash)
      160    0.000    0.000    0.019    0.000 scoping.py:20(<lambda>)
       74    0.000    0.000    0.018    0.000 z3.py:7667(as_expr)
      159    0.000    0.000    0.017    0.000 skill_classes.py:31(__eq__)
       74    0.000    0.000    0.017    0.000 z3.py:5469(as_expr)
      204    0.000    0.000    0.016    0.000 z3.py:2300(__sub__)
       24    0.014    0.001    0.016    0.001 {built-in method builtins.print}
   201190    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
      212    0.000    0.000    0.016    0.000 PDDLz3.py:87(<lambda>)
      194    0.000    0.000    0.016    0.000 PDDLz3.py:96(<lambda>)
    48963    0.011    0.000    0.016    0.000 z3.py:3724(is_bv)
1158/1053    0.001    0.000    0.015    0.000 PDDLz3.py:233(<listcomp>)
      212    0.000    0.000    0.015    0.000 z3.py:2485(__ge__)
     7970    0.004    0.000    0.015    0.000 z3printer.py:554(is_infix_unary)
     1690    0.001    0.000    0.015    0.000 z3printer.py:586(pp_int)
        4    0.000    0.000    0.014    0.004 PDDLz3.py:226(<listcomp>)
    48963    0.010    0.000    0.014    0.000 z3.py:9077(is_fprm)
    48963    0.010    0.000    0.013    0.000 z3.py:7307(is_finite_domain)
    48963    0.010    0.000    0.013    0.000 z3.py:10130(is_string_value)
    17166    0.005    0.000    0.013    0.000 z3printer.py:542(is_infix)
     3070    0.009    0.000    0.012    0.000 z3printer.py:481(pp_line_break)
    23884    0.011    0.000    0.012    0.000 z3printer.py:345(__init__)
     8273    0.007    0.000    0.012    0.000 z3core.py:1602(Z3_mk_int_sort)
    42309    0.011    0.000    0.011    0.000 {method 'decode' of 'bytes' objects}
     4761    0.006    0.000    0.011    0.000 z3.py:455(_ctx_from_ast_arg_list)
     1690    0.001    0.000    0.011    0.000 z3.py:2787(as_string)
      144    0.000    0.000    0.011    0.000 z3.py:2252(__add__)
        4    0.000    0.000    0.011    0.003 PDDLz3.py:29(make_str2var_dict)
        8    0.001    0.000    0.011    0.001 PDDLz3.py:9(make_z3_atoms)
      244    0.001    0.000    0.010    0.000 z3.py:6671(check)
    96648    0.010    0.000    0.010    0.000 {method 'write' of '_io.StringIO' objects}
     2702    0.001    0.000    0.010    0.000 z3.py:2159(subsort)
     7208    0.002    0.000    0.010    0.000 z3printer.py:369(flat)
        1    0.000    0.000    0.009    0.009 PDDLz3.py:51(<listcomp>)
       41    0.001    0.000    0.009    0.000 PDDL.py:395(get_action_groundings)
     1690    0.007    0.000    0.009    0.000 z3core.py:2847(Z3_get_numeral_string)
    34249    0.009    0.000    0.009    0.000 {method 'getvalue' of '_io.StringIO' objects}
       75    0.000    0.000    0.009    0.000 utils.py:135(split_conj)
