Mon Dec 28 18:59:43 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/multi_monkeys_playroom/multi_monkeys_playroom//multi_monkeys_playroom/prob-01_nonverbose

         1242338 function calls (1238865 primitive calls) in 0.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.438    0.438 {built-in method builtins.exec}
        1    0.000    0.000    0.438    0.438 <string>:1(<module>)
        1    0.000    0.000    0.437    0.437 pddl_scoper.py:6(scope_pddl)
        1    0.000    0.000    0.331    0.331 scoping.py:69(scope)
     1795    0.001    0.000    0.293    0.000 z3.py:320(__str__)
     1795    0.003    0.000    0.292    0.000 z3printer.py:1236(obj_to_string)
     1795    0.001    0.000    0.278    0.000 z3printer.py:1132(__call__)
     1795    0.001    0.000    0.278    0.000 z3printer.py:1106(main)
2155/1795    0.002    0.000    0.276    0.000 z3printer.py:1000(pp_expr)
2155/1795    0.007    0.000    0.266    0.000 z3printer.py:917(pp_app)
      709    0.000    0.000    0.167    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.128    0.043 skill_classes.py:198(merge_skills_pddl)
     1908    0.003    0.000    0.101    0.000 z3printer.py:576(pp_const)
  540/173    0.002    0.000    0.096    0.001 utils.py:307(get_atoms)
        3    0.000    0.000    0.093    0.031 skill_classes.py:219(sort_in_merge_skills)
       41    0.000    0.000    0.093    0.002 skill_classes.py:82(__lt__)
       82    0.000    0.000    0.093    0.001 skill_classes.py:75(__str__)
       82    0.000    0.000    0.093    0.001 skill_classes.py:71(__repr__)
        3    0.000    0.000    0.073    0.024 scoping.py:36(get_causal_links)
    14526    0.015    0.000    0.070    0.000 z3.py:307(__init__)
    14526    0.014    0.000    0.067    0.000 z3.py:312(__del__)
     5399    0.009    0.000    0.067    0.000 z3.py:974(decl)
   117301    0.060    0.000    0.066    0.000 z3core.py:1417(Check)
     2067    0.002    0.000    0.065    0.000 z3printer.py:539(pp_name)
      142    0.000    0.000    0.059    0.000 z3printer.py:788(pp_infix)
       82    0.000    0.000    0.059    0.001 skill_classes.py:33(__lt__)
    16692    0.008    0.000    0.057    0.000 z3.py:1157(is_app)
        1    0.000    0.000    0.053    0.053 scoping.py:152(<listcomp>)
     3118    0.002    0.000    0.051    0.000 z3.py:2241(is_real)
       96    0.000    0.000    0.051    0.001 skill_classes.py:39(__repr__)
      142    0.000    0.000    0.050    0.000 z3printer.py:783(infix_args)
     2067    0.003    0.000    0.049    0.000 z3printer.py:216(_op_name)
      142    0.001    0.000    0.049    0.000 z3printer.py:751(infix_args_core)
     5929    0.006    0.000    0.049    0.000 z3.py:2217(sort)
    16692    0.013    0.000    0.048    0.000 z3.py:450(_ast_kind)
      264    0.000    0.000    0.040    0.000 z3.py:932(__eq__)
        3    0.000    0.000    0.040    0.013 scoping.py:7(skills2effects)
    17180    0.008    0.000    0.039    0.000 z3.py:513(as_ast)
  358/276    0.001    0.000    0.038    0.000 z3.py:1106(_coerce_exprs)
     2155    0.002    0.000    0.035    0.000 z3.py:2560(is_int_value)
     17/9    0.000    0.000    0.033    0.004 z3printer.py:734(pp_prefix)
        3    0.000    0.000    0.032    0.011 scoping.py:47(get_unlinked_pvars)
        3    0.000    0.000    0.032    0.011 scoping.py:22(get_unthreatened_conditions)
      220    0.001    0.000    0.030    0.000 z3.py:335(__bool__)
    18026    0.017    0.000    0.030    0.000 z3core.py:2817(Z3_get_ast_kind)
       40    0.000    0.000    0.029    0.001 utils.py:377(get_unique_z3_vars)
     1214    0.002    0.000    0.029    0.000 z3.py:1005(arg)
     1647    0.001    0.000    0.029    0.000 z3.py:2227(is_int)
     4207    0.006    0.000    0.028    0.000 z3.py:989(num_args)
     2067    0.001    0.000    0.028    0.000 z3.py:2583(is_rational_value)
      706    0.001    0.000    0.027    0.000 z3.py:1026(children)
    17180    0.015    0.000    0.027    0.000 z3core.py:2562(Z3_sort_to_ast)
     2067    0.001    0.000    0.027    0.000 z3.py:2604(is_algebraic_value)
    10798    0.005    0.000    0.026    0.000 z3.py:668(as_ast)
  676/512    0.001    0.000    0.025    0.000 z3.py:2163(cast)
        1    0.000    0.000    0.025    0.025 PDDLz3.py:62(get_init_cond_list)
        1    0.000    0.000    0.024    0.024 PDDLz3.py:48(get_skills)
     2067    0.001    0.000    0.023    0.000 z3.py:1182(is_const)
    14526    0.014    0.000    0.023    0.000 z3core.py:1480(Z3_inc_ref)
        1    0.000    0.000    0.022    0.022 PDDLz3.py:36(str_grounded_actions2skills)
    14526    0.013    0.000    0.022    0.000 z3core.py:1484(Z3_dec_ref)
       94    0.000    0.000    0.022    0.000 skill_classes.py:49(__init__)
       40    0.000    0.000    0.019    0.000 utils.py:382(get_unique_z3_vars_unsorted)
      706    0.000    0.000    0.019    0.000 z3.py:1037(<listcomp>)
        3    0.000    0.000    0.018    0.006 skill_classes.py:172(group_skills_by_effects)
       57    0.000    0.000    0.018    0.000 skill_classes.py:88(move_irrelevant2side_effects)
    10798    0.010    0.000    0.017    0.000 z3core.py:2672(Z3_func_decl_to_ast)
    55456    0.012    0.000    0.016    0.000 z3.py:362(ctx_ref)
     1928    0.002    0.000    0.016    0.000 z3.py:677(name)
      660    0.001    0.000    0.015    0.000 z3.py:1256(is_app_of)
       82    0.000    0.000    0.015    0.000 z3.py:1268(If)
     1686    0.002    0.000    0.013    0.000 z3.py:366(eq)
     7972    0.008    0.000    0.013    0.000 z3core.py:2802(Z3_get_sort)
     1334    0.002    0.000    0.013    0.000 z3.py:1041(_to_expr_ref)
     5362    0.003    0.000    0.013    0.000 z3.py:719(kind)
        3    0.000    0.000    0.013    0.004 skill_classes.py:182(merge_skills_inner)
   234602    0.012    0.000    0.012    0.000 z3types.py:19(from_param)
     4983    0.002    0.000    0.012    0.000 z3.py:519(kind)
       18    0.000    0.000    0.012    0.001 PDDLz3.py:254(action2effect_types)
      827    0.001    0.000    0.011    0.000 z3.py:1088(_coerce_expr_merge)
     4983    0.002    0.000    0.011    0.000 z3.py:508(_sort_kind)
     1928    0.002    0.000    0.011    0.000 z3.py:116(_symbol2py)
       66    0.000    0.000    0.010    0.000 scoping.py:31(<listcomp>)
     1795    0.001    0.000    0.010    0.000 z3printer.py:509(__call__)
     6317    0.006    0.000    0.010    0.000 z3core.py:2572(Z3_get_sort_kind)
        1    0.000    0.000    0.010    0.010 PDDLz3.py:77(<listcomp>)
       40    0.000    0.000    0.010    0.000 utils.py:403(sort_z3_vars)
       80    0.000    0.000    0.010    0.000 utils.py:404(<lambda>)
   129232    0.009    0.000    0.009    0.000 z3.py:196(ref)
2793/1795    0.002    0.000    0.009    0.000 z3printer.py:493(pp)
      394    0.001    0.000    0.009    0.000 z3.py:1392(cast)
     3200    0.001    0.000    0.009    0.000 z3.py:2131(is_real)
       13    0.009    0.001    0.009    0.001 {built-in method builtins.print}
     5399    0.005    0.000    0.009    0.000 z3core.py:2772(Z3_get_app_decl)
     5362    0.005    0.000    0.008    0.000 z3core.py:2692(Z3_get_decl_kind)
       18    0.000    0.000    0.007    0.000 utils.py:121(simplify_disjunction)
     4207    0.004    0.000    0.007    0.000 z3core.py:2777(Z3_get_app_num_args)
       42    0.000    0.000    0.007    0.000 z3.py:6509(push)
       42    0.006    0.000    0.007    0.000 z3core.py:3741(Z3_solver_push)
    83236    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
       38    0.000    0.000    0.006    0.000 utils.py:238(solver_implies_condition)
