Sat Jan  9 12:25:39 2021    spedup_fd_profile

         6693505 function calls (6671608 primitive calls) in 3.270 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000    3.271    3.271 {built-in method builtins.exec}
        1    0.001    0.001    3.271    3.271 <string>:1(<module>)
        1    0.002    0.002    3.266    3.266 translate_and_scope.py:695(main)
        1    0.001    0.001    2.628    2.628 scoping.py:97(scope)
        3    0.002    0.001    1.612    0.537 scoping.py:60(get_unlinked_pvars)
18123/1583    0.060    0.000    0.956    0.001 utils.py:204(get_atoms)
    17760    0.027    0.000    0.864    0.000 z3.py:1026(children)
      499    0.001    0.000    0.838    0.002 scoping.py:81(get_unlinked_pvars_prec_loop)
      681    0.002    0.000    0.800    0.001 scoping.py:87(get_unlinked_pvars_inner_check)
        3    0.005    0.002    0.758    0.253 scoping.py:91(get_rel_pvars_new)
    21701    0.059    0.000    0.728    0.000 z3.py:1005(arg)
    17760    0.009    0.000    0.585    0.000 z3.py:1037(<listcomp>)
   106177    0.073    0.000    0.497    0.000 z3.py:1157(is_app)
   613351    0.443    0.000    0.487    0.000 z3core.py:1417(Check)
     2248    0.008    0.000    0.444    0.000 z3.py:335(__bool__)
     3535    0.010    0.000    0.430    0.000 z3.py:932(__eq__)
    71088    0.100    0.000    0.417    0.000 z3.py:307(__init__)
     2104    0.001    0.000    0.414    0.000 z3.py:320(__str__)
   106177    0.115    0.000    0.414    0.000 z3.py:450(_ast_kind)
     2104    0.005    0.000    0.413    0.000 z3printer.py:1236(obj_to_string)
    43813    0.083    0.000    0.411    0.000 z3.py:989(num_args)
        1    0.002    0.002    0.407    0.407 scoping_sas_parser.py:157(str_grounded_actions2skills)
    71088    0.095    0.000    0.403    0.000 z3.py:312(__del__)
     2104    0.001    0.000    0.395    0.000 z3printer.py:1132(__call__)
     2104    0.002    0.000    0.393    0.000 z3printer.py:1106(main)
     2104    0.003    0.000    0.390    0.000 z3printer.py:1000(pp_expr)
     2104    0.010    0.000    0.376    0.000 z3printer.py:917(pp_app)
        3    0.000    0.000    0.372    0.124 skill_classes.py:148(merge_skills_pddl)
     3535    0.011    0.000    0.369    0.000 z3.py:1106(_coerce_exprs)
    22382    0.056    0.000    0.300    0.000 z3.py:1041(_to_expr_ref)
        3    0.005    0.002    0.296    0.099 skill_classes.py:132(merge_skills_inner)
    88968    0.056    0.000    0.288    0.000 z3.py:513(as_ast)
   128559    0.165    0.000    0.287    0.000 z3core.py:2817(Z3_get_ast_kind)
      499    0.005    0.000    0.266    0.001 utils.py:25(simplify_disjunction)
      650    0.002    0.000    0.246    0.000 scoping_sas_parser.py:126(action2precondition)
      501    0.001    0.000    0.236    0.000 utils.py:283(get_unique_z3_vars)
      501    0.002    0.000    0.230    0.000 utils.py:288(get_unique_z3_vars_unsorted)
     6744    0.011    0.000    0.228    0.000 z3.py:1256(is_app_of)
    11951    0.029    0.000    0.207    0.000 z3.py:974(decl)
    17839    0.026    0.000    0.206    0.000 z3.py:2217(sort)
    18546    0.038    0.000    0.200    0.000 z3.py:366(eq)
    88968    0.110    0.000    0.197    0.000 z3core.py:2562(Z3_sort_to_ast)
     7070    0.012    0.000    0.197    0.000 z3.py:2163(cast)
     1437    0.003    0.000    0.181    0.000 z3.py:1124(_coerce_expr_list)
      681    0.004    0.000    0.172    0.000 utils.py:137(solver_implies_condition)
    10173    0.009    0.000    0.167    0.000 z3.py:1088(_coerce_expr_merge)
     4995    0.011    0.000    0.165    0.000 z3.py:1392(cast)
5811/1937    0.010    0.000    0.161    0.000 PDDLz3.py:158(compile_expression)
     2104    0.004    0.000    0.160    0.000 z3printer.py:576(pp_const)
    71088    0.094    0.000    0.159    0.000 z3core.py:1480(Z3_inc_ref)
    71088    0.089    0.000    0.155    0.000 z3core.py:1484(Z3_dec_ref)
        1    0.000    0.000    0.153    0.153 translate_and_scope.py:534(pddl_to_sas)
      650    0.004    0.000    0.144    0.000 scoping_sas_parser.py:131(action2effect_types)
     1287    0.002    0.000    0.143    0.000 PDDLz3.py:83(<lambda>)
      938    0.007    0.000    0.139    0.000 z3.py:1700(And)
      651    0.002    0.000    0.133    0.000 skill_classes.py:9(__init__)
    48319    0.065    0.000    0.110    0.000 z3core.py:2802(Z3_get_sort)
   263116    0.083    0.000    0.110    0.000 z3.py:362(ctx_ref)
     1437    0.002    0.000    0.102    0.000 z3.py:1133(<listcomp>)
     2104    0.003    0.000    0.096    0.000 z3printer.py:539(pp_name)
    43813    0.055    0.000    0.096    0.000 z3core.py:2777(Z3_get_app_num_args)
     4182    0.005    0.000    0.096    0.000 z3.py:2241(is_real)
     8098    0.013    0.000    0.094    0.000 z3.py:1426(sort)
  1226702    0.090    0.000    0.090    0.000 z3types.py:19(from_param)
      499    0.004    0.000    0.090    0.000 z3.py:1732(Or)
        1    0.000    0.000    0.085    0.085 instantiate.py:80(explore)
    23902    0.016    0.000    0.081    0.000 z3.py:668(as_ast)
     2248    0.001    0.000    0.079    0.000 z3.py:1459(is_true)
     2248    0.001    0.000    0.077    0.000 z3.py:1476(is_false)
     1437    0.002    0.000    0.076    0.000 z3.py:1118(_reduce)
     2248    0.001    0.000    0.076    0.000 z3.py:1533(is_eq)
     2104    0.005    0.000    0.074    0.000 z3printer.py:216(_op_name)
        3    0.004    0.001    0.068    0.023 skill_classes.py:123(group_skills_by_effects)
    29942    0.038    0.000    0.065    0.000 z3core.py:2572(Z3_get_sort_kind)
   641672    0.065    0.000    0.065    0.000 z3.py:196(ref)
     2104    0.003    0.000    0.063    0.000 z3.py:2560(is_int_value)
    21701    0.037    0.000    0.058    0.000 z3core.py:2782(Z3_get_app_arg)
      684    0.001    0.000    0.056    0.000 z3.py:6604(add)
    23902    0.032    0.000    0.055    0.000 z3core.py:2672(Z3_func_decl_to_ast)
     7944    0.007    0.000    0.055    0.000 skill_classes.py:38(__hash__)
    10708    0.005    0.000    0.054    0.000 z3.py:949(__hash__)
   461772    0.052    0.000    0.053    0.000 {built-in method builtins.isinstance}
      499    0.001    0.000    0.053    0.000 z3.py:7667(as_expr)
     2091    0.003    0.000    0.051    0.000 z3.py:2227(is_int)
     2104    0.001    0.000    0.051    0.000 z3.py:2583(is_rational_value)
    42905    0.009    0.000    0.050    0.000 {built-in method builtins.hash}
     2104    0.001    0.000    0.050    0.000 z3.py:2604(is_algebraic_value)
        3    0.000    0.000    0.050    0.017 scoping.py:38(get_causal_links)
      684    0.003    0.000    0.050    0.000 z3.py:6585(assert_exprs)
    10708    0.004    0.000    0.049    0.000 z3.py:329(__hash__)
    18546    0.028    0.000    0.047    0.000 z3core.py:2787(Z3_is_eq_ast)
   131719    0.035    0.000    0.047    0.000 z3.py:412(is_ast)
    10708    0.010    0.000    0.045    0.000 z3.py:402(hash)
      681    0.004    0.000    0.043    0.000 z3.py:6671(check)
     3103    0.012    0.000    0.043    0.000 skill_classes.py:42(__init__)
        1    0.006    0.006    0.042    0.042 build_model.py:299(compute_model)
      681    0.003    0.000    0.041    0.000 z3.py:1669(Not)
     1287    0.004    0.000    0.040    0.000 z3.py:2989(IntVal)
      499    0.001    0.000    0.040    0.000 z3.py:5469(as_expr)
14630/14586    0.009    0.000    0.040    0.000 {built-in method builtins.sorted}
     3103    0.004    0.000    0.039    0.000 z3.py:677(name)
      500    0.001    0.000    0.038    0.000 utils.py:39(split_conj)
    10952    0.007    0.000    0.037    0.000 z3.py:719(kind)
        1    0.003    0.003    0.036    0.036 instantiate.py:32(instantiate)
   455372    0.036    0.000    0.036    0.000 z3types.py:39(from_param)
     6328    0.027    0.000    0.035    0.000 {built-in method builtins.print}
   300841    0.034    0.000    0.034    0.000 z3.py:903(as_ast)
     2104    0.002    0.000    0.034    0.000 z3.py:1182(is_const)
     1953    0.003    0.000    0.033    0.000 skill_classes.py:83(move_irrelevant2side_effects)
      670    0.002    0.000    0.032    0.000 actions.py:66(instantiate)
      499    0.001    0.000    0.031    0.000 z3.py:5369(add)
      681    0.030    0.000    0.031    0.000 z3core.py:3827(Z3_solver_check_assumptions)
        1    0.000    0.000    0.030    0.030 translate_and_scope.py:444(translate_task)
     2546    0.004    0.000    0.029    0.000 z3.py:1553(BoolSort)
