Thu Dec 17 14:24:39 2020    time_profiles/minecraft_old

         103193809 function calls (102946142 primitive calls) in 33.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   33.612   33.612 {built-in method builtins.exec}
        1    0.000    0.000   33.612   33.612 <string>:1(<module>)
        1    0.001    0.001   33.609   33.609 pddl_scoper.py:6(scope_pddl)
        1    0.001    0.001   19.585   19.585 scoping.py:39(scope)
      181    0.000    0.000   16.427    0.091 utils.py:375(get_unique_z3_vars)
      181    0.057    0.000   16.331    0.090 utils.py:380(get_unique_z3_vars_unsorted)
    87414    0.164    0.000   14.331    0.000 z3.py:932(__eq__)
118621/87618    0.288    0.000   13.284    0.000 z3.py:1106(_coerce_exprs)
    87122    0.216    0.000   12.108    0.000 z3.py:335(__bool__)
        6    0.003    0.000    9.393    1.566 scoping.py:8(get_causal_links)
227308/165302    0.363    0.000    9.200    0.000 z3.py:2163(cast)
     1062    0.030    0.000    8.412    0.008 scoping.py:13(<listcomp>)
  1419011    1.382    0.000    6.359    0.000 z3.py:307(__init__)
   261366    0.274    0.000    6.233    0.000 z3.py:1256(is_app_of)
  1419011    1.331    0.000    6.131    0.000 z3.py:312(__del__)
    29698    0.051    0.000    6.086    0.000 z3printer.py:1236(obj_to_string)
    29508    0.012    0.000    6.073    0.000 z3.py:320(__str__)
 10514092    5.416    0.000    5.952    0.000 z3core.py:1417(Check)
    29698    0.011    0.000    5.764    0.000 z3printer.py:1132(__call__)
    29698    0.023    0.000    5.753    0.000 z3printer.py:1106(main)
41595/29698    0.042    0.000    5.719    0.000 z3printer.py:1000(pp_expr)
    31003    0.138    0.000    5.650    0.000 z3.py:1268(If)
41595/29698    0.151    0.000    5.564    0.000 z3printer.py:917(pp_app)
        1    0.000    0.000    5.144    5.144 PDDLz3.py:62(get_init_cond_list)
  2158694    0.956    0.000    4.923    0.000 z3.py:513(as_ast)
     2347    0.003    0.000    4.909    0.002 {built-in method builtins.sorted}
   191478    0.372    0.000    4.571    0.000 z3.py:1005(arg)
   354993    0.588    0.000    4.346    0.000 z3.py:974(decl)
        6    0.002    0.000    4.179    0.696 skill_classes.py:171(merge_skills_pddl)
  1240320    0.611    0.000    4.136    0.000 z3.py:1157(is_app)
   478057    0.493    0.000    3.865    0.000 z3.py:2217(sort)
   476785    0.689    0.000    3.634    0.000 z3.py:366(eq)
  1240320    0.972    0.000    3.441    0.000 z3.py:450(_ast_kind)
  2158694    1.896    0.000    3.372    0.000 z3core.py:2562(Z3_sort_to_ast)
   238271    0.174    0.000    3.250    0.000 z3.py:1088(_coerce_expr_merge)
      292    0.000    0.000    2.724    0.009 skill_classes.py:82(__lt__)
      584    0.000    0.000    2.724    0.005 skill_classes.py:75(__str__)
      584    0.003    0.000    2.724    0.005 skill_classes.py:71(__repr__)
  1463117    1.318    0.000    2.321    0.000 z3core.py:2817(Z3_get_ast_kind)
