Thu Dec 17 12:05:19 2020    time_profiles/monkey_07

         95027742 function calls (94875192 primitive calls) in 32.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   32.474   32.474 {built-in method builtins.exec}
        1    0.000    0.000   32.474   32.474 <string>:1(<module>)
        1    0.001    0.001   32.473   32.473 monkey_scope.py:24(scope_pddl)
      148    0.000    0.000   28.815    0.195 utils.py:374(get_unique_z3_vars)
      148    0.095    0.001   28.773    0.194 utils.py:379(get_unique_z3_vars_unsorted)
    81900    0.171    0.000   17.745    0.000 z3.py:932(__eq__)
127172/81912    0.347    0.000   16.702    0.000 z3.py:1106(_coerce_exprs)
221280/130760    0.421    0.000   12.148    0.000 z3.py:2163(cast)
    81388    0.221    0.000   12.020    0.000 z3.py:335(__bool__)
    45260    0.221    0.000    8.763    0.000 z3.py:1268(If)
  1381316    1.407    0.000    6.421    0.000 z3.py:307(__init__)
   244164    0.287    0.000    6.198    0.000 z3.py:1256(is_app_of)
  1381316    1.355    0.000    6.184    0.000 z3.py:312(__del__)
  9878042    5.286    0.000    5.809    0.000 z3core.py:1417(Check)
  2300510    1.065    0.000    5.497    0.000 z3.py:513(as_ast)
        1    0.000    0.000    4.225    4.225 scoping.py:39(scope)
   511804    0.796    0.000    4.199    0.000 z3.py:366(eq)
   166695    0.354    0.000    4.195    0.000 z3.py:1005(arg)
   256015    0.215    0.000    3.765    0.000 z3.py:1088(_coerce_expr_merge)
  2300510    2.131    0.000    3.763    0.000 z3core.py:2562(Z3_sort_to_ast)
   275989    0.496    0.000    3.550    0.000 z3.py:974(decl)
   990801    0.510    0.000    3.439    0.000 z3.py:1157(is_app)
   377274    0.422    0.000    3.215    0.000 z3.py:2217(sort)
   990801    0.810    0.000    2.858    0.000 z3.py:450(_ast_kind)
  1381316    1.339    0.000    2.299    0.000 z3core.py:1480(Z3_inc_ref)
  1381316    1.268    0.000    2.220    0.000 z3core.py:1484(Z3_dec_ref)
    90520    0.070    0.000    2.170    0.000 z3.py:2930(_py2expr)
    81388    0.034    0.000    2.146    0.000 z3.py:1459(is_true)
   212011    0.402    0.000    2.140    0.000 z3.py:1041(_to_expr_ref)
    81388    0.030    0.000    2.077    0.000 z3.py:1476(is_false)
    81388    0.030    0.000    2.069    0.000 z3.py:1533(is_eq)
    90584    0.194    0.000    2.069    0.000 z3.py:2989(IntVal)
    80642    0.135    0.000    1.985    0.000 z3.py:1392(cast)
  1202812    1.132    0.000    1.978    0.000 z3core.py:2817(Z3_get_ast_kind)
   268027    0.388    0.000    1.895    0.000 z3.py:989(num_args)
    15258    0.006    0.000    1.884    0.000 z3.py:320(__str__)
    15284    0.024    0.000    1.881    0.000 z3printer.py:1236(obj_to_string)
        1    0.000    0.000    1.823    1.823 PDDLz3.py:62(get_init_cond_list)
    15284    0.006    0.000    1.790    0.000 z3printer.py:1132(__call__)
    15284    0.013    0.000    1.783    0.000 z3printer.py:1106(main)
15698/15284    0.014    0.000    1.766    0.000 z3printer.py:1000(pp_expr)
   205897    0.231    0.000    1.748    0.000 z3.py:1426(sort)
15698/15284    0.052    0.000    1.690    0.000 z3printer.py:917(pp_app)
  5033717    1.160    0.000    1.526    0.000 z3.py:362(ctx_ref)
   551978    0.279    0.000    1.374    0.000 z3.py:668(as_ast)
   795182    0.783    0.000    1.346    0.000 z3core.py:2802(Z3_get_sort)
 19756084    1.078    0.000    1.078    0.000 z3types.py:19(from_param)
   511804    0.578    0.000    0.958    0.000 z3core.py:2787(Z3_is_eq_ast)
   551978    0.537    0.000    0.935    0.000 z3core.py:2672(Z3_func_decl_to_ast)
 4168/746    0.016    0.000    0.931    0.001 utils.py:305(get_atoms)
    15451    0.023    0.000    0.864    0.000 z3printer.py:576(pp_const)
        3    0.001    0.000    0.798    0.266 scoping.py:8(get_causal_links)
 10835409    0.795    0.000    0.795    0.000 z3.py:196(ref)
    90792    0.099    0.000    0.738    0.000 z3.py:2942(IntSort)
        1    0.002    0.002    0.719    0.719 scoping.py:120(<listcomp>)
   275952    0.146    0.000    0.703    0.000 z3.py:719(kind)
      372    0.002    0.000    0.650    0.002 scoping.py:13(<listcomp>)
   352459    0.332    0.000    0.579    0.000 z3core.py:2572(Z3_get_sort_kind)
        1    0.002    0.002    0.561    0.561 PDDLz3.py:77(<listcomp>)
    15610    0.016    0.000    0.521    0.000 z3printer.py:539(pp_name)
   275952    0.274    0.000    0.470    0.000 z3core.py:2692(Z3_get_decl_kind)
   275989    0.269    0.000    0.464    0.000 z3core.py:2772(Z3_get_app_decl)
   268027    0.249    0.000    0.439    0.000 z3core.py:2777(Z3_get_app_num_args)
  1640307    0.326    0.000    0.437    0.000 z3.py:412(is_ast)
    15610    0.024    0.000    0.401    0.000 z3printer.py:216(_op_name)
  6805866    0.387    0.000    0.387    0.000 z3types.py:39(from_param)
  4786011    0.382    0.000    0.382    0.000 {built-in method builtins.isinstance}
    45895    0.052    0.000    0.377    0.000 z3.py:1553(BoolSort)
   140448    0.052    0.000    0.362    0.000 z3.py:519(kind)
   166695    0.216    0.000    0.335    0.000 z3core.py:2782(Z3_get_app_arg)
     1968    0.001    0.000    0.325    0.000 {built-in method builtins.sorted}
  3531051    0.312    0.000    0.312    0.000 z3.py:903(as_ast)
   140448    0.068    0.000    0.311    0.000 z3.py:508(_sort_kind)
    16828    0.014    0.000    0.291    0.000 z3.py:2241(is_real)
    90584    0.149    0.000    0.282    0.000 z3core.py:2192(Z3_mk_numeral)
    78360    0.030    0.000    0.231    0.000 z3.py:2145(is_int)
        3    0.001    0.000    0.229    0.076 skill_classes.py:171(merge_skills_pddl)
   745912    0.165    0.000    0.222    0.000 z3.py:1135(is_expr)
        1    0.000    0.000    0.218    0.218 PDDLz3.py:48(get_skills)
        1    0.001    0.001    0.207    0.207 PDDLz3.py:36(str_grounded_actions2skills)
        1    0.001    0.001    0.207    0.207 monkey_scope.py:57(<listcomp>)
    15698    0.011    0.000    0.194    0.000 z3.py:2560(is_int_value)
    62088    0.026    0.000    0.188    0.000 z3.py:2131(is_real)
    81900    0.123    0.000    0.185    0.000 z3core.py:1722(Z3_mk_eq)
    15610    0.009    0.000    0.182    0.000 z3.py:1182(is_const)
  1571419    0.179    0.000    0.179    0.000 z3.py:56(z3_debug)
      466    0.001    0.000    0.177    0.000 skill_classes.py:33(__lt__)
  2744082    0.172    0.000    0.172    0.000 z3types.py:31(from_param)
    15610    0.006    0.000    0.157    0.000 z3.py:2583(is_rational_value)
     8502    0.008    0.000    0.156    0.000 z3.py:2227(is_int)
    15610    0.006    0.000    0.154    0.000 z3.py:2604(is_algebraic_value)
      126    0.000    0.000    0.151    0.001 PDDLz3.py:45(action2precondition)
     4334    0.005    0.000    0.150    0.000 z3.py:1026(children)
      526    0.002    0.000    0.145    0.000 skill_classes.py:49(__init__)
    90792    0.081    0.000    0.142    0.000 z3core.py:1602(Z3_mk_int_sort)
    15483    0.013    0.000    0.134    0.000 z3.py:677(name)
  1655361    0.133    0.000    0.133    0.000 z3.py:231(_get_ctx)
    45260    0.085    0.000    0.123    0.000 z3core.py:1737(Z3_mk_ite)
  1657472    0.123    0.000    0.123    0.000 z3.py:94(_z3_assert)
    45725    0.060    0.000    0.118    0.000 z3.py:455(_ctx_from_ast_arg_list)
      381    0.001    0.000    0.110    0.000 skill_classes.py:88(move_irrelevant2side_effects)
2943/1179    0.005    0.000    0.105    0.000 PDDLz3.py:163(compile_expression)
    90584    0.070    0.000    0.104    0.000 z3.py:2974(_to_int_str)
    24534    0.016    0.000    0.101    0.000 z3.py:2159(subsort)
       41    0.000    0.000    0.100    0.002 skill_classes.py:82(__lt__)
       82    0.000    0.000    0.100    0.001 skill_classes.py:75(__str__)
       82    0.000    0.000    0.100    0.001 skill_classes.py:71(__repr__)
     4334    0.002    0.000    0.097    0.000 z3.py:1037(<listcomp>)
      234    0.001    0.000    0.089    0.000 z3.py:1700(And)
    15483    0.015    0.000    0.089    0.000 z3.py:116(_symbol2py)
      252    0.000    0.000    0.082    0.000 z3.py:1124(_coerce_expr_list)
    45895    0.043    0.000    0.073    0.000 z3core.py:1597(Z3_mk_bool_sort)
    91099    0.041    0.000    0.066    0.000 z3core.py:69(_str_to_bytes)
    15284    0.012    0.000    0.064    0.000 z3printer.py:509(__call__)
      142    0.000    0.000    0.060    0.000 z3printer.py:788(pp_infix)
   843413    0.057    0.000    0.057    0.000 z3types.py:35(from_param)
16444/15284    0.013    0.000    0.053    0.000 z3printer.py:493(pp)
      512    0.000    0.000    0.052    0.000 PDDLz3.py:88(<lambda>)
       96    0.000    0.000    0.052    0.001 skill_classes.py:39(__repr__)
      142    0.000    0.000    0.050    0.000 z3printer.py:783(infix_args)
      142    0.001    0.000    0.050    0.000 z3printer.py:751(infix_args_core)
        3    0.000    0.000    0.046    0.015 scoping.py:17(get_unlinked_pvars)
   181601    0.035    0.000    0.046    0.000 z3.py:64(_is_int)
    15483    0.021    0.000    0.045    0.000 z3core.py:2542(Z3_get_symbol_string)
      252    0.000    0.000    0.043    0.000 z3.py:1133(<listcomp>)
      148    0.000    0.000    0.041    0.000 utils.py:386(sort_z3_vars)
      347    0.000    0.000    0.041    0.000 utils.py:387(<lambda>)
     17/9    0.000    0.000    0.039    0.004 z3printer.py:734(pp_prefix)
      252    0.001    0.000    0.039    0.000 z3.py:1118(_reduce)
    15987    0.016    0.000    0.035    0.000 z3printer.py:460(pp_string)
    15483    0.015    0.000    0.027    0.000 z3core.py:2532(Z3_get_symbol_kind)
    15483    0.015    0.000    0.026    0.000 z3core.py:2687(Z3_get_decl_name)
    92404    0.017    0.000    0.023    0.000 z3.py:8119(is_probe)
    16259    0.013    0.000    0.021    0.000 z3printer.py:387(to_format)
     8502    0.004    0.000    0.021    0.000 z3.py:2554(_is_numeral)
    91099    0.019    0.000    0.019    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.017    0.009 utils.py:47(pvars2objects)
        2    0.000    0.000    0.017    0.008 utils.py:156(condition_str2objects)
     8502    0.010    0.000    0.016    0.000 z3core.py:2827(Z3_is_numeral_ast)
        4    0.000    0.000    0.015    0.004 PDDLz3.py:29(make_str2var_dict)
        8    0.001    0.000    0.015    0.002 PDDLz3.py:9(make_z3_atoms)
    16146    0.010    0.000    0.015    0.000 z3printer.py:410(_len)
      126    0.000    0.000    0.014    0.000 PDDLz3.py:254(action2effect_types)
    45260    0.011    0.000    0.014    0.000 z3.py:1414(subsort)
       59    0.000    0.000    0.014    0.000 z3.py:6604(add)
    46918    0.010    0.000    0.013    0.000 z3.py:2498(is_arith)
       59    0.001    0.000    0.013    0.000 z3.py:6585(assert_exprs)
    15571    0.009    0.000    0.013    0.000 z3core.py:83(_to_pystr)
       16    0.008    0.000    0.011    0.001 {built-in method builtins.print}
    25284    0.004    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    15610    0.005    0.000    0.010    0.000 z3.py:3737(is_bv_value)
       18    0.000    0.000    0.010    0.001 utils.py:119(simplify_disjunction)
    15610    0.005    0.000    0.010    0.000 z3.py:7360(is_finite_domain_value)
